,DATE,LOC,ORG,PER,Mean
twi,,0.9830933213233948,0.9865517616271973,0.9897493124008179,0.98646479845047
pcm,,0.9805317521095276,,0.9853302240371704,0.982930988073349
ewe,,,0.9788832664489746,0.9854904413223267,0.9821868538856506
swa,,0.976552426815033,,0.9853575229644775,0.9809549748897552
mos,,,0.9797601699829102,0.9798107743263245,0.9797854721546173
sna,,0.9730984568595886,,0.9857016205787659,0.9794000387191772
fon,,0.9707762598991394,0.9799615740776062,0.9850000143051147,0.9785792827606201
hau,,,0.9715938568115234,0.9843552112579346,0.977974534034729
lug,,,0.9747186303138733,0.9767394661903381,0.9757290482521057
tsn,,0.9719932079315186,0.9765722751617432,,0.9742827415466309
luo,,,0.9663325548171997,0.9792903065681458,0.9728114306926727
nya,,0.96616131067276,0.9776586294174194,,0.9719099700450897
zul,,0.9712733030319214,,,0.9712733030319214
bam,,0.9810373783111572,0.9605510234832764,,0.9707942008972168
ibo,,0.9588847160339355,0.9757981300354004,,0.967341423034668
wol,,0.9638826251029968,0.9688206911087036,,0.9663516581058502
xho,,0.9618450403213501,,0.9682049751281738,0.965025007724762
kin,,0.9535059332847595,0.9697965979576111,,0.9616512656211853
yor,,0.9446092247962952,0.9752821922302246,,0.9599457085132599
bbj,,0.940735399723053,0.9776426553726196,,0.9591890275478363
