,PER,ORG,LOC,DATE
bam,0.9829489588737488,0.9647659063339233,0.9763208627700806,0.9773778915405273
bbj,0.9878557920455933,0.980602502822876,0.9539551138877869,0.967023491859436
ewe,0.9848201274871826,0.9844643473625183,0.9778572916984558,0.9660455584526062
fon,0.9838482141494751,0.9828423261642456,0.9700726866722107,0.966305136680603
hau,0.9781835675239563,0.9718174934387207,0.954294741153717,0.9540799260139465
ibo,0.9876786470413208,0.983126699924469,0.9554014801979065,0.9877422451972961
kin,0.9821382164955139,0.9890210032463074,0.9805614948272705,0.9887253046035767
lug,0.9755098819732666,0.9712451100349426,0.9870352149009705,0.9909217357635498
luo,0.9822189807891846,0.9813252091407776,0.9866833686828613,0.9805769920349121
mos,0.9820985794067383,0.9805197715759277,0.9709601402282715,0.9626275897026062
nya,0.9890974164009094,0.9816752076148987,0.9729889631271362,0.9687435030937195
pcm,0.9858977198600769,0.9661549925804138,0.9784126281738281,0.9400742650032043
sna,0.9817770719528198,0.9732481837272644,0.9697421193122864,0.9807165861129761
swa,0.9841085076332092,0.9551125764846802,0.9849017858505249,0.9500707387924194
tsn,0.9872777462005615,0.9791247248649597,0.9807672500610352,0.9849070310592651
twi,0.9876314401626587,0.9869700074195862,0.986771821975708,0.982765257358551
wol,0.986329972743988,0.973192572593689,0.9626785516738892,0.9880722761154175
xho,0.973145604133606,0.9764569997787476,0.9613534808158875,0.9765574932098389
yor,0.9784063100814819,0.9689387083053589,0.9265419244766235,0.9743698835372925
zul,0.9830249547958374,0.9811434745788574,0.9741626977920532,0.9837235808372498
