,DATE,ORG,LOC,PER,Mean
twi,,0.9921168088912964,0.990481972694397,0.9905217289924622,0.9910401701927185
kin,,0.9878115057945251,0.9845495223999023,0.9853659272193909,0.9859089851379395
tsn,,0.9851056933403015,0.9786936640739441,0.9889331459999084,0.984244167804718
ewe,,0.9900694489479065,0.9750476479530334,0.9874705076217651,0.984195868174235
lug,,0.9830098748207092,0.9923624992370605,0.9767394661903381,0.9840372800827026
pcm,,0.9801567792892456,0.980461597442627,0.9907406568527222,0.9837863445281982
luo,,0.9731519818305969,0.9866211414337158,0.9837104082107544,0.9811611771583557
zul,,0.9839513301849365,0.9760050773620605,0.9815701842308044,0.9805088639259338
hau,,0.9768048524856567,0.9791130423545837,0.9855828881263733,0.9805002609888712
swa,,0.9633474946022034,0.9884551167488098,0.9883691668510437,0.9800572594006857
fon,,0.9864606857299805,0.9672736525535583,0.9850223064422607,0.9795855482419332
nya,,0.9834401607513428,0.9590387940406799,0.9914341568946838,0.9779710372289022
mos,,0.9856141209602356,0.9601724743843079,0.9840337634086609,0.9766067862510681
wol,,0.9814253449440002,0.9563300013542175,0.9870575666427612,0.974937637646993
sna,,0.977475106716156,0.9609694480895996,0.9857016205787659,0.9747153917948405
bam,,0.9584434628486633,0.9771522283554077,0.9851459860801697,0.973580559094747
ibo,,0.9863474369049072,0.947165310382843,0.9858604073524475,0.9731243848800659
bbj,,0.9813326001167297,0.9412636160850525,0.9892916679382324,0.9706292947133383
xho,,0.9759759902954102,0.9557861089706421,0.9682049751281738,0.9666556914647421
yor,,0.981043815612793,0.9322327375411987,0.9801599979400635,0.9644788503646851
