layer,model,rank_type,language,swd_mean
1,afroxlmr,top5,kin,0.00855161174058594
1,afroxlmr,top5,zul,0.00921103701557513
1,afroxlmr,top5,luo,0.009359580495129194
1,afroxlmr,top5,lug,0.009428537320104624
1,afroxlmr,top5,wol,0.009633557538222703
1,afroxlmr,worst5,yor,0.012314679626570069
1,afroxlmr,worst5,mos,0.012272552270587767
1,afroxlmr,worst5,fon,0.012031806490313102
1,afroxlmr,worst5,hau,0.012009089886305446
1,afroxlmr,worst5,bam,0.012000150579979163
2,afroxlmr,top5,kin,0.006016888172325707
2,afroxlmr,top5,twi,0.006392138885075838
2,afroxlmr,top5,ibo,0.006528074452489818
2,afroxlmr,top5,luo,0.006580363178841253
2,afroxlmr,top5,lug,0.006590324862941088
2,afroxlmr,worst5,hau,0.008333026878631244
2,afroxlmr,worst5,bam,0.008129488409508667
2,afroxlmr,worst5,yor,0.00794125598872597
2,afroxlmr,worst5,bbj,0.007720379649526876
2,afroxlmr,worst5,fon,0.0077015245348661665
3,afroxlmr,top5,kin,0.00559243516454444
3,afroxlmr,top5,twi,0.00565520478369308
3,afroxlmr,top5,lug,0.005733236914807094
3,afroxlmr,top5,ibo,0.005922049620380676
3,afroxlmr,top5,nya,0.006021121430308085
3,afroxlmr,worst5,hau,0.007958171521067925
3,afroxlmr,worst5,bam,0.007288677408041622
3,afroxlmr,worst5,yor,0.007276088465118846
3,afroxlmr,worst5,fon,0.007179843451808665
3,afroxlmr,worst5,mos,0.007102355992515186
4,afroxlmr,top5,twi,0.006246656298912967
4,afroxlmr,top5,lug,0.006324481000092419
4,afroxlmr,top5,ibo,0.006575129620273401
4,afroxlmr,top5,luo,0.0065753276323903265
4,afroxlmr,top5,kin,0.006697552541936602
4,afroxlmr,worst5,fon,0.008157101524716381
4,afroxlmr,worst5,bam,0.008069143958323366
4,afroxlmr,worst5,hau,0.00800127958552821
4,afroxlmr,worst5,bbj,0.007936229983670273
4,afroxlmr,worst5,yor,0.007792606888983755
5,afroxlmr,top5,twi,0.0061381285645438766
5,afroxlmr,top5,kin,0.006207207594798092
5,afroxlmr,top5,luo,0.006416305444190584
5,afroxlmr,top5,tsn,0.006542879613448349
5,afroxlmr,top5,nya,0.006618211942509333
