,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9873612523078918,0.1589886099100113,0.9873566031455994,0.9816470742225647,0.19158796966075897,0.9816399812698364,0.9813909530639648,0.19292046129703522,0.9813826084136963,0.9803328514099121,0.19832901656627655,0.9803228378295898,0.7839637994766235
bbj,0.9893340468406677,0.14605455100536346,0.9893279075622559,0.9629817008972168,0.2720971703529358,0.9629677534103394,0.9869884848594666,0.16131776571273804,0.9869872331619263,0.9722631573677063,0.23552927374839783,0.9722506403923035,0.655096709728241
ewe,0.991683840751648,0.12896722555160522,0.9916801452636719,0.9805871248245239,0.19704321026802063,0.9805784225463867,0.9921553134918213,0.12525823712348938,0.9921514391899109,0.9716470837593079,0.2381303608417511,0.9716331958770752,0.7985543012619019
fon,0.9854098558425903,0.1708226352930069,0.9854019284248352,0.9711246490478516,0.24031458795070648,0.9711108803749084,0.9867907762527466,0.16253814101219177,0.9867867231369019,0.971183717250824,0.24006837606430054,0.9711747169494629,0.7711992263793945
hau,0.9873501658439636,0.15905888378620148,0.9873446226119995,0.9730392694473267,0.23220999538898468,0.9730393290519714,0.9849947094917297,0.17323586344718933,0.9849889278411865,0.9705178737640381,0.2428261935710907,0.9705022573471069,0.8820968866348267
ibo,0.9858115911483765,0.168455109000206,0.9858099818229675,0.9706604480743408,0.24223831295967102,0.9706466794013977,0.9917546510696411,0.12841631472110748,0.991750955581665,0.9889893531799316,0.14839638769626617,0.988986074924469,0.8051239848136902
kin,0.9868845343589783,0.16196009516716003,0.9868839979171753,0.991331160068512,0.13167327642440796,0.9913280606269836,0.9939808249473572,0.10972084850072861,0.9939782619476318,0.984409749507904,0.17657984793186188,0.984402596950531,0.8897650241851807
lug,0.9969732761383057,0.07780338078737259,0.9969720244407654,0.9921761751174927,0.1250913292169571,0.9921724796295166,0.9794567823410034,0.20269829034805298,0.9794468283653259,0.9767507314682007,0.2156354933977127,0.9767414927482605,0.770230233669281
luo,0.9878576993942261,0.15583489835262299,0.9878548979759216,0.9908491373062134,0.13528427481651306,0.9908480644226074,0.9879971742630005,0.15493835508823395,0.9879912734031677,0.9866928458213806,0.16313941776752472,0.9866862297058105,0.8962865471839905
mos,0.9842439293861389,0.17751693725585938,0.984235405921936,0.9756460785865784,0.22069934010505676,0.9756362438201904,0.9895505905151367,0.1445656418800354,0.9895454049110413,0.9697020649909973,0.24616290628910065,0.9696879982948303,0.7914515137672424
nya,0.9912772178649902,0.13208183646202087,0.9912745356559753,0.9840555787086487,0.17857469618320465,0.9840482473373413,0.990318238735199,0.13915404677391052,0.9903146028518677,0.9761589169502258,0.21836315095424652,0.9761462807655334,0.8496413826942444
pcm,0.9933961629867554,0.11492467671632767,0.9933949708938599,0.9891741275787354,0.147146537899971,0.9891694188117981,0.9861000180244446,0.16673338413238525,0.9860935807228088,0.9528529047966003,0.30707406997680664,0.9528329968452454,0.7836006879806519
sna,0.989776074886322,0.14299611747264862,0.9897713661193848,0.9681362509727478,0.25244319438934326,0.9681227207183838,0.9876369833946228,0.1572456657886505,0.9876311421394348,0.980068027973175,0.19966018199920654,0.9800570607185364,0.7953358888626099
swa,0.9921414256095886,0.12536880373954773,0.9921413660049438,0.9948056936264038,0.10192549228668213,0.9948040246963501,0.9777591228485107,0.21090754866600037,0.977749764919281,0.9516212940216064,0.3110586404800415,0.9516124725341797,0.7166042327880859
tsn,0.9921781420707703,0.125074565410614,0.9921738505363464,0.9855160117149353,0.17020045220851898,0.9855093955993652,0.9840937256813049,0.17836163938045502,0.9840870499610901,0.9856032729148865,0.16968616843223572,0.9855982661247253,0.707920253276825
twi,0.9909775853157043,0.1343308389186859,0.9909737706184387,0.9914227724075317,0.1309754103422165,0.9914212822914124,0.9937458634376526,0.11184114962816238,0.9937426447868347,0.9802657961845398,0.19866658747196198,0.9802646040916443,0.9059897661209106
wol,0.9876241087913513,0.1573273092508316,0.9876176118850708,0.9739121198654175,0.22842082381248474,0.973900556564331,0.9854785203933716,0.1704208105802536,0.9854755401611328,0.9839357137680054,0.17924465239048004,0.983929455280304,0.8273558616638184
xho,0.9855756163597107,0.16984859108924866,0.9855673909187317,0.9658628106117249,0.26129424571990967,0.965846836566925,0.9820687174797058,0.18937435746192932,0.9820610880851746,0.9849188327789307,0.17367354035377502,0.9849106073379517,0.6142402291297913
yor,0.9823043346405029,0.18812601268291473,0.9823018312454224,0.9631803631782532,0.27136605978012085,0.9631680846214294,0.9894803762435913,0.14505037665367126,0.9894751310348511,0.9764183759689331,0.21717087924480438,0.9764119386672974,0.7696247696876526
zul,0.9882134795188904,0.15353500843048096,0.988206684589386,0.976182222366333,0.2182554304599762,0.9761711359024048,0.9870806932449341,0.1607450693845749,0.9870743155479431,0.9820978045463562,0.18922016024589539,0.9820883274078369,0.7181665897369385
