,ORG,DATE,PER,LOC
bam,0.9588871598243713,,0.9857541918754578,0.9788187146186829
bbj,0.9813326001167297,,0.9892916679382324,0.943712592124939
ewe,0.9900694489479065,,0.9874705076217651,0.9776352047920227
fon,0.9835718274116516,,0.9849970936775208,0.962946891784668
hau,0.9799161553382874,,0.9842506051063538,0.9769959449768066
ibo,0.9877044558525085,,0.9858604073524475,0.9637420177459717
kin,0.9915927052497864,,0.9853659272193909,0.987108051776886
lug,0.9774752855300903,,0.9884954690933228,0.9920664429664612
luo,0.9868922233581543,,0.9841439127922058,0.989563524723053
mos,0.9856141209602356,,0.9842931032180786,0.964619517326355
nya,0.9866931438446045,,0.9910165071487427,0.9623640179634094
pcm,0.9801567792892456,,0.9907406568527222,0.9904468655586243
sna,0.9828181266784668,,0.9876847267150879,0.9637612700462341
swa,0.9761288166046143,,0.9883691668510437,0.9945465326309204
tsn,0.980817973613739,,0.9889331459999084,0.9812027812004089
twi,0.9923753142356873,,0.9905217289924622,0.9918246269226074
wol,0.9821227192878723,,0.9870575666427612,0.9587050080299377
xho,0.9759759902954102,,0.9709362983703613,0.958171010017395
yor,0.987011194229126,,0.9801599979400635,0.9553254842758179
zul,0.9839513301849365,,0.9857688546180725,0.9768723249435425
