,ORG,LOC,DATE,PER
bam,0.9999662041664124,0.9999988079071045,,0.9999968409538269
bbj,0.9999974966049194,0.9999918341636658,,0.9999971389770508
ewe,0.9999961853027344,0.9999983310699463,,0.9999974966049194
fon,0.999997079372406,0.9999985694885254,,0.9999968409538269
hau,0.9999946355819702,0.9999886155128479,,0.9999951720237732
ibo,0.9999986290931702,0.9999945759773254,,
kin,0.9999949932098389,0.9999988675117493,,0.999996542930603
lug,0.9999980926513672,,,0.9999980330467224
luo,0.9999949932098389,,,0.9999973773956299
mos,0.9999982118606567,0.9999958276748657,,0.9999984502792358
nya,0.9999947547912598,0.9999880790710449,,0.9999958872795105
pcm,0.9999971985816956,0.9999956488609314,,0.9999995827674866
sna,0.9999947547912598,0.9999884366989136,,0.9999959468841553
swa,0.9999953508377075,0.9999957084655762,,0.9999991655349731
tsn,0.9999984502792358,0.999995231628418,,
twi,0.9999987483024597,0.9999967813491821,,0.9999992251396179
wol,0.999993085861206,0.9999877214431763,,0.9999954104423523
xho,0.9999943971633911,0.9999922513961792,,0.999995231628418
yor,0.9999979138374329,0.9999951720237732,,
zul,0.9999933838844299,0.9999875426292419,,0.9999955296516418
