,DATE,LOC,PER,ORG
bam,,0.9997894167900085,0.9995273947715759,0.9987826943397522
bbj,,0.9968386292457581,0.9996179938316345,0.9978402853012085
ewe,,0.9938872456550598,0.9925280809402466,0.9998131394386292
fon,,0.9996700286865234,0.9991204738616943,0.9991312026977539
hau,,0.9991525411605835,0.9948556423187256,0.9985596537590027
ibo,,0.9980115294456482,,0.9991159439086914
kin,,0.9989835023880005,0.9993262887001038,0.9985507130622864
lug,,,0.9998611211776733,0.9995527267456055
luo,,,0.9998444318771362,0.9944999814033508
mos,,0.9994943141937256,0.9969431757926941,0.9993914365768433
nya,,0.9995459318161011,0.9999343156814575,0.9960454106330872
pcm,,0.9996008276939392,0.9996001720428467,0.9961746335029602
sna,,0.9986119270324707,0.9998757243156433,0.998034656047821
swa,,0.9998970627784729,0.9997895359992981,0.9926382899284363
tsn,,0.9972385168075562,,0.9972252249717712
twi,,0.9998018741607666,0.9992575645446777,0.9974417686462402
wol,,0.9996717572212219,0.9987180233001709,0.9929137825965881
xho,,0.9988529682159424,0.9993085861206055,0.992318332195282
yor,,0.9969049096107483,,0.9945710301399231
zul,,0.99959397315979,0.9989919662475586,0.9941794872283936
