,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9600510597229004,0.2826620936393738,0.9598149657249451,0.9370162487030029,0.35491910576820374,0.93678218126297,0.7988606691360474,0.6342543959617615,0.7978485226631165,,,,
bbj,0.9657070636749268,0.26188886165618896,0.9655197262763977,0.8367048501968384,0.5714807510375977,0.83603835105896,0.912136435508728,0.4191981554031372,0.9116867780685425,,,,
ewe,0.9572134017944336,0.2925291657447815,0.9569576382637024,0.9280615448951721,0.3793112635612488,0.927801251411438,0.9397188425064087,0.34722092747688293,0.9394536018371582,,,,
fon,0.9542779326438904,0.30239757895469666,0.9540440440177917,0.8777584433555603,0.4944522976875305,0.8772647976875305,0.934205949306488,0.362750381231308,0.9338525533676147,,,,
hau,0.9444605708122253,0.33328545093536377,0.9441330432891846,0.9176732301712036,0.40577512979507446,0.9173691272735596,0.9072290658950806,0.43074554204940796,0.9067692160606384,,,,
ibo,0.9576162099838257,0.29114896059036255,0.9573670625686646,0.9053484797477722,0.435089647769928,0.9049729108810425,0.946725606918335,0.3264184892177582,0.9464563131332397,,,,
kin,0.9577124118804932,0.29081860184669495,0.9574872255325317,0.9636685848236084,0.26956039667129517,0.9635330438613892,0.9660985469818115,0.2603898346424103,0.9659329056739807,,,,
lug,0.9669806957244873,0.25697997212409973,0.9668814539909363,0.9795259237289429,0.20235630869865417,0.9794551730155945,0.8911272883415222,0.46663206815719604,0.8906397223472595,,,,
luo,0.9406377077102661,0.34456461668014526,0.940366804599762,0.9627847671508789,0.2728196382522583,0.9626546502113342,0.9560955762863159,0.2963254153728485,0.9558992385864258,,,,
mos,0.9518165588378906,0.31043046712875366,0.9515368342399597,0.8848705291748047,0.47985318303108215,0.8844461441040039,0.9147759079933167,0.412853479385376,0.9143146276473999,,,,
nya,0.9696141481399536,0.24651941657066345,0.9694326519966125,0.8911257982254028,0.4666352868080139,0.8907246589660645,0.9527732133865356,0.3073330521583557,0.9525554776191711,,,,
pcm,0.9706708192825317,0.24219535291194916,0.9705154299736023,0.9613534212112427,0.27801674604415894,0.9612089991569519,0.9319494366645813,0.3689190745353699,0.9316871762275696,,,,
sna,0.9350467920303345,0.36042550206184387,0.934715986251831,0.9192935824394226,0.4017621874809265,0.9189854264259338,0.9282757043838501,0.3787461519241333,0.9278554916381836,,,,
swa,0.9663877487182617,0.25927701592445374,0.9662178158760071,0.9664744138717651,0.25894254446029663,0.9663460850715637,0.9129528403282166,0.41724616289138794,0.9127036929130554,,,,
tsn,0.9602958559989929,0.2817952036857605,0.9600563645362854,0.9297724962234497,0.374773234128952,0.9294979572296143,0.9411050081253052,0.34320515394210815,0.9409930109977722,,,,
twi,0.975245475769043,0.2225063294172287,0.9750900268554688,0.9684764742851257,0.2510918080806732,0.96835857629776,0.9615853428840637,0.277180552482605,0.9613813757896423,,,,
wol,0.9609251022338867,0.27955296635627747,0.9606781601905823,0.8748089671134949,0.5003820061683655,0.8743326663970947,0.9479696750640869,0.3225838243961334,0.9476633071899414,,,,
xho,0.891207754611969,0.46645960211753845,0.8905407786369324,0.8869009017944336,0.4756029546260834,0.8864542245864868,0.915324866771698,0.4115217924118042,0.9149655103683472,,,,
yor,0.907943844795227,0.42908328771591187,0.9075388312339783,0.8518003821372986,0.5444256663322449,0.8511995673179626,0.9210774302482605,0.3972976505756378,0.920744001865387,,,,
zul,0.914795458316803,0.4128064215183258,0.9143300652503967,0.9367998838424683,0.3555280268192291,0.936617374420166,0.9359341859817505,0.3579547107219696,0.9356307983398438,,,,
