,ORG,LOC,PER,DATE
bam,0.999998927116394,0.9999986290931702,0.9999994039535522,0.9999988675117493
bbj,0.9999992251396179,0.9999986290931702,0.9999995231628418,0.999998927116394
ewe,0.9999996423721313,0.9999986290931702,0.9999995827674866,0.999998927116394
fon,0.9999994039535522,0.9999988675117493,0.9999995231628418,0.9999988079071045
hau,0.9999988079071045,0.9999979734420776,0.999999463558197,0.9999988675117493
ibo,0.9999997615814209,0.9999991059303284,0.9999992847442627,0.9999995827674866
kin,0.9999993443489075,0.9999997615814209,0.9999992847442627,0.9999992251396179
lug,0.999998927116394,0.9999997019767761,0.9999999403953552,0.9999990463256836
luo,0.9999995231628418,0.9999997615814209,0.9999998211860657,0.9999994039535522
mos,0.9999994039535522,0.9999988675117493,0.9999992847442627,0.9999987483024597
nya,0.9999995231628418,0.9999992847442627,0.9999996423721313,0.9999992251396179
pcm,0.9999993443489075,0.9999992251396179,0.9999998807907104,0.9999977350234985
sna,0.9999996423721313,0.9999983310699463,0.9999997615814209,0.9999992847442627
swa,0.9999989867210388,0.9999999403953552,0.9999995231628418,0.9999982714653015
tsn,0.9999992847442627,0.999998927116394,0.9999995231628418,0.9999995231628418
twi,0.9999997615814209,0.9999995231628418,0.9999995827674866,0.9999993443489075
wol,0.9999991655349731,0.9999983310699463,0.9999996423721313,0.9999992251396179
xho,0.9999994039535522,0.9999978542327881,0.9999989867210388,0.9999995231628418
yor,0.9999995231628418,0.9999984502792358,0.999999463558197,0.9999991655349731
zul,0.9999988079071045,0.9999984502792358,0.9999995827674866,0.9999995231628418
