,DATE,LOC,PER,ORG
bam,0.925308883190155,0.9240867495536804,0.9457619190216064,0.9135042428970337
bbj,0.8747276663780212,0.8692478537559509,0.9587456583976746,0.9658718109130859
ewe,0.9036187529563904,0.9332730770111084,0.9562379121780396,0.9731694459915161
fon,0.8672026991844177,0.9121608734130859,0.9495983123779297,0.9605098366737366
hau,0.9246339797973633,0.8603551387786865,0.9339408874511719,0.9379858374595642
ibo,0.957923173904419,0.9015787839889526,0.9625880718231201,0.9729668498039246
kin,0.9652327299118042,0.9357494115829468,0.9452962279319763,0.9808794260025024
lug,0.9397305846214294,0.9575309753417969,0.928118109703064,0.9320383071899414
luo,0.9368593096733093,0.9480382204055786,0.9489005208015442,0.9726516008377075
mos,0.8709686994552612,0.9087371826171875,0.9401381611824036,0.9681642055511475
nya,0.9424213171005249,0.9167495965957642,0.9653662443161011,0.9712907075881958
pcm,0.8764111399650574,0.9333623647689819,0.9536884427070618,0.9470878839492798
sna,0.9445395469665527,0.9061236381530762,0.939541757106781,0.9526633024215698
swa,0.8979567885398865,0.9552310109138489,0.9666809439659119,0.9188570976257324
tsn,0.9519777297973633,0.938986599445343,0.9572450518608093,0.9623671770095825
twi,0.9351943135261536,0.9527055621147156,0.9619742631912231,0.9768187999725342
wol,0.9625407457351685,0.8792245984077454,0.9603391885757446,0.9717044830322266
xho,0.9465731978416443,0.8914469480514526,0.9361684322357178,0.9514291286468506
yor,0.9170659780502319,0.8731499314308167,0.9354353547096252,0.9458565711975098
zul,0.953823447227478,0.9196165204048157,0.9483291506767273,0.9649649262428284
