,PER,DATE,ORG,LOC,Mean
twi,0.984994113445282,,,,0.984994113445282
swa,0.9833173155784607,,,,0.9833173155784607
pcm,0.9783356189727783,,,0.9795325994491577,0.978934109210968
fon,0.9788985252380371,,,,0.9788985252380371
ewe,0.982715904712677,,0.9739711880683899,,0.9783435463905334
nya,,,0.9768728017807007,,0.9768728017807007
mos,0.9772801995277405,,0.9762226343154907,,0.9767514169216156
wol,,,0.9763156771659851,,0.9763156771659851
hau,0.9801720380783081,,0.9706668853759766,,0.9754194617271423
luo,0.9795804619789124,,0.9707652926445007,,0.9751728773117065
tsn,,,0.9750924706459045,0.9738302826881409,0.9744613766670227
sna,0.9788830280303955,,,0.9696804881095886,0.9742817580699921
lug,0.9691274762153625,,0.9790470600128174,,0.97408726811409
ibo,,,0.9736443161964417,0.965609073638916,0.9696266949176788
kin,,,0.9638139009475708,,0.9638139009475708
bam,,,0.9629637598991394,,0.9629637598991394
xho,0.9581480026245117,,,0.9677659273147583,0.962956964969635
zul,,,,0.961164116859436,0.961164116859436
yor,,,0.9720270037651062,0.9499254822731018,0.960976243019104
bbj,,,0.9710760116577148,0.9284509420394897,0.9497634768486023
