,DATE,ORG,LOC,PER
bam,,0.9666545987129211,0.9736040234565735,
bbj,,0.9741497039794922,0.9415037035942078,
ewe,,0.9758986830711365,,0.9833851456642151
fon,,0.9781560301780701,0.9646121263504028,0.9816157817840576
hau,,0.9736815094947815,0.9454829692840576,0.9812700152397156
ibo,,0.9750645160675049,0.9602012634277344,
kin,,0.963870644569397,0.9747203588485718,0.9793887734413147
lug,,0.975185751914978,,0.9797565937042236
luo,,0.9676966071128845,,0.9796523451805115
mos,,0.9791033267974854,,0.9755626916885376
nya,,0.9756087064743042,0.9682645797729492,
pcm,,,0.9736635684967041,0.9825747609138489
sna,,,0.9619219899177551,0.9823398590087891
swa,,0.9298043251037598,0.9682938456535339,0.984533429145813
tsn,,0.9806782007217407,0.9674012660980225,
twi,,0.9869515895843506,0.9741196036338806,0.9865545630455017
wol,,0.9754560589790344,0.965231716632843,0.9822514057159424
xho,,,0.9637582898139954,0.9693819284439087
yor,,0.9726557731628418,0.9439585208892822,
zul,,,0.9566984176635742,
