,PER,LOC,ORG,DATE,SWD_mean
bam,0.007324499956666841,0.008761428902289481,0.010809366811372456,0.00791499228171233,0.008702571988010277
bbj,0.005964058303106867,0.010314426153854583,0.00833901092164524,0.009593564861461346,0.008552765060017009
ewe,0.007308258752345864,0.007376790770649677,0.006777245370358287,0.011230025439999736,0.008173080083338391
fon,0.008030257151858677,0.009624292447369953,0.007698832024289004,0.009734453614782979,0.008771958809575153
hau,0.007896283645095536,0.010613087756155437,0.0075322857264836784,0.011025951265310141,0.009266902098261198
ibo,0.006687968325422844,0.00982479592494201,0.008125015685436665,0.006561726882409857,0.007799876704552844
kin,0.007760800401229062,0.008841147287057538,0.008940615777646599,0.008324388719302078,0.00846673804630882
lug,0.008763368034124142,0.006374406031682156,0.008594770632498694,0.007098110186234408,0.00770766372113485
luo,0.008027337589282979,0.006570636846845446,0.009775300243745733,0.006888792341214867,0.007815516755272256
mos,0.006977645201004634,0.009250673199858284,0.007992219670086342,0.00910411753829976,0.008331163902312255
nya,0.006446305621466308,0.009139000531831698,0.008788405790255638,0.009959583703221142,0.008583323911693697
pcm,0.006495906616237335,0.0091045818553539,0.010147693215913023,0.012481846421906084,0.009557507027352585
sna,0.007196433526587498,0.008604593818745343,0.008716353617273853,0.008925185041789518,0.008360641501099053
swa,0.007646632245268847,0.007045662267955777,0.011206136354303453,0.010812650410116476,0.009177770319411138
tsn,0.006992536455072695,0.006417560279714962,0.008469264388622832,0.00678004191695436,0.007164850760091213
twi,0.005964899106402299,0.007156425091125129,0.007334943674322858,0.008422674611210823,0.007219735620765277
wol,0.006764307733192254,0.010216540537840046,0.009247778558801656,0.007030697183381562,0.00831483100330388
xho,0.008085148083409877,0.011586014580643678,0.009451832361264678,0.0089079928297906,0.009507746963777208
yor,0.008234655271735392,0.012634554853320878,0.00916598764979426,0.008409541234414064,0.009611184752316149
zul,0.007591058206344314,0.008436594514932949,0.007727990619969205,0.007832833216980362,0.007897119139556708
