,ORG,LOC,DATE,PER
bam,0.9440194964408875,0.9568305611610413,,0.9703710675239563
bbj,0.9701879620552063,0.9179973006248474,,0.9764665365219116
ewe,0.9800429344177246,0.9690413475036621,,0.9755904674530029
fon,0.9736114144325256,0.9460260272026062,,0.9763090014457703
hau,0.9690495729446411,0.9472983479499817,,0.9722836017608643
ibo,0.9804286956787109,0.950433611869812,,0.9742804169654846
kin,0.9783907532691956,0.9626327157020569,,0.9765905737876892
lug,0.9733301997184753,0.9655113816261292,,0.9815962314605713
luo,0.9607784152030945,0.9578582644462585,,0.9748898148536682
mos,0.9759259223937988,0.9427937865257263,,0.9762258529663086
nya,0.9774852991104126,0.9574523568153381,,0.9824150800704956
pcm,0.965842604637146,0.9672437906265259,,0.9825551509857178
sna,0.9749225378036499,0.9619345664978027,,0.9773832559585571
swa,0.9585506916046143,0.9637343883514404,,0.9752898216247559
tsn,0.9762194752693176,0.9588919281959534,,0.9823253750801086
twi,0.9840982556343079,0.9596996903419495,,0.979174017906189
wol,0.9749457836151123,0.955020546913147,,0.9729547500610352
xho,0.9712133407592773,0.9558931589126587,,0.9631237387657166
yor,0.970196008682251,0.9287421703338623,,
zul,0.9767190217971802,0.9498032927513123,,0.9717346429824829
