,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9831875562667847,0.18337169289588928,0.983173131942749,0.9785563945770264,0.2070923149585724,0.9785390496253967,0.9492471218109131,0.3185998797416687,0.9492067694664001,,,,
bbj,0.9806883931159973,0.1965278834104538,0.9806722402572632,0.9448993802070618,0.33196601271629333,0.9448547959327698,0.9711659550666809,0.240141823887825,0.9711418151855469,,,,
ewe,0.986325740814209,0.16537374258041382,0.9863157868385315,0.9791196584701538,0.20435412228107452,0.9791030287742615,0.9839684367179871,0.17906208336353302,0.9839552044868469,,,,
fon,0.9831375479698181,0.1836438775062561,0.9831227660179138,0.9698821902275085,0.24542975425720215,0.9698582291603088,0.9798928499221802,0.20053473114967346,0.9798761606216431,,,,
hau,0.9834361672401428,0.18201005458831787,0.9834222793579102,0.9642268419265747,0.2674812376499176,0.9641981720924377,0.973270833492279,0.23121033608913422,0.9732485413551331,,,,
ibo,0.9815467000007629,0.19211113452911377,0.9815312623977661,0.965609073638916,0.26226332783699036,0.965583324432373,0.9826247692108154,0.1864141970872879,0.9826110005378723,,,,
kin,0.9850127696990967,0.17313136160373688,0.9850002527236938,0.984992504119873,0.173248752951622,0.9849808216094971,0.9802194833755493,0.19889983534812927,0.9802033305168152,,,,
lug,0.9830591678619385,0.18406912684440613,0.983045756816864,0.9828174114227295,0.1853787750005722,0.9828036427497864,0.9836034774780273,0.1810881346464157,0.9835898280143738,,,,
luo,0.9874145984649658,0.15865302085876465,0.987406849861145,0.9821562170982361,0.18891195952892303,0.9821422100067139,0.9738200902938843,0.22882257401943207,0.9738020300865173,,,,
mos,0.9854142665863037,0.17079608142375946,0.9854018688201904,0.9719226360321045,0.2369694709777832,0.9719001054763794,0.9796037673950195,0.2019720822572708,0.979587197303772,,,,
nya,0.9902396202087402,0.1397162824869156,0.9902328848838806,0.9760101437568665,0.21904292702674866,0.9759920239448547,0.9822158813476562,0.1885959804058075,0.9822014570236206,,,,
pcm,0.9882808923721313,0.15309485793113708,0.9882709980010986,0.9795325994491577,0.2023242563009262,0.9795160889625549,0.97913658618927,0.20427125692367554,0.9791191816329956,,,,
sna,0.9837530851364136,0.18026065826416016,0.9837397933006287,0.9694492816925049,0.24718749523162842,0.9694293737411499,0.9814482927322388,0.19262219965457916,0.9814338684082031,,,,
swa,0.9879451394081116,0.15527281165122986,0.9879353046417236,0.9777339100837708,0.21102726459503174,0.9777162671089172,0.9710215926170349,0.24074195325374603,0.9709978103637695,,,,
tsn,0.9890068769454956,0.1482776403427124,0.9889994859695435,0.9789607524871826,0.2051309496164322,0.978943943977356,0.9850680232048035,0.17281195521354675,0.9850567579269409,,,,
twi,0.9885470271110535,0.15134704113006592,0.9885380268096924,0.9809079170227051,0.19540759921073914,0.980893611907959,0.988391637802124,0.15237075090408325,0.9883820414543152,,,,
wol,0.9827820062637329,0.18556912243366241,0.9827673435211182,0.9728090763092041,0.2331998199224472,0.972787082195282,0.9809451699256897,0.1952168196439743,0.980929970741272,,,,
xho,0.9629018306732178,0.272390216588974,0.9628766179084778,0.9679591059684753,0.2531437873840332,0.9679368734359741,0.9763808846473694,0.2173437774181366,0.9763633012771606,,,,
yor,0.9744628071784973,0.22599637508392334,0.9744429588317871,0.9499254822731018,0.316463828086853,0.9498907923698425,0.9743712544441223,0.2264016568660736,0.9743514657020569,,,,
zul,0.97621089220047,0.21812468767166138,0.9761980175971985,0.977959156036377,0.20995688438415527,0.9779418110847473,0.9797898530960083,0.20104849338531494,0.9797759652137756,,,,
