,PER,ORG,DATE,LOC,Mean
twi,0.9736862778663635,0.9864951372146606,0.9636567831039429,0.9647116661071777,0.9721374660730362
nya,0.9753521680831909,0.9848330616950989,0.9624143242835999,0.9587197303771973,0.9703298211097717
kin,0.9653205871582031,0.9835802912712097,0.9598140120506287,0.9611948132514954,0.9674774259328842
sna,0.977279782295227,0.9801579713821411,0.9639370441436768,0.9484151005744934,0.9674474745988846
luo,0.9695931673049927,0.9751959443092346,0.9666674733161926,0.9580110907554626,0.9673669189214706
lug,0.9866327047348022,0.9444755911827087,0.9664782881736755,0.9707463383674622,0.9670832306146622
tsn,0.9798969626426697,0.9662434458732605,0.9654993414878845,0.9561803340911865,0.9669550210237503
ibo,0.9692612290382385,0.9796803593635559,0.9741043448448181,0.9420185089111328,0.9662661105394363
ewe,0.9727932214736938,0.9799205660820007,0.9509283304214478,0.9598488807678223,0.9658727496862411
zul,0.9712278246879578,0.9762696623802185,0.9592100977897644,0.950910210609436,0.9644044488668442
wol,0.966791033744812,0.9732009768486023,0.9673411250114441,0.9446036219596863,0.9629841893911362
xho,0.9668564200401306,0.9665852785110474,0.9618591666221619,0.9402643442153931,0.9588913023471832
fon,0.9690985083580017,0.9771761298179626,0.9543532729148865,0.924487829208374,0.9562789350748062
mos,0.9701868891716003,0.9780082106590271,0.9401283860206604,0.9296427369117737,0.9544915556907654
swa,0.9776527285575867,0.9544095993041992,0.9051810503005981,0.9645530581474304,0.9504491090774536
yor,0.955480694770813,0.9731504321098328,0.9596591591835022,0.9128333926200867,0.9502809196710587
bam,0.9504903554916382,0.9501826167106628,0.9571833610534668,0.9432485699653625,0.9502762258052826
bbj,0.9677798748016357,0.9713115096092224,0.9557603001594543,0.9044274687767029,0.9498197883367538
pcm,0.9803323149681091,0.9480007290840149,0.9064918756484985,0.955933690071106,0.9476896524429321
hau,0.9683886170387268,0.9675542712211609,0.9204340577125549,0.9115197658538818,0.9419741779565811
