,PER,DATE,ORG,LOC,Mean
lug,0.9999403953552246,,0.9999818801879883,,0.9999611377716064
ewe,0.9999234676361084,,0.99992835521698,,0.9999259114265442
nya,0.9999452829360962,,0.9999379515647888,0.9998765587806702,0.9999199310938517
ibo,,,0.999958872795105,0.9998806715011597,0.9999197721481323
twi,0.9999132752418518,,0.9999402165412903,0.9998949766159058,0.999916156133016
kin,0.9999418258666992,,0.999915599822998,0.9998835921287537,0.9999136726061503
mos,0.9998980164527893,,0.9999239444732666,,0.999910980463028
zul,0.9999439716339111,,,0.9998776912689209,0.999910831451416
xho,0.9999235272407532,,,0.9998845458030701,0.9999040365219116
tsn,,,0.9999194741249084,0.9998816847801208,0.9999005794525146
luo,0.9999264478683472,,0.9998723268508911,,0.9998993873596191
yor,,,0.9999449849128723,0.9998520016670227,0.9998984932899475
hau,0.999904990196228,,0.9998971223831177,0.9998720288276672,0.9998913804690043
sna,0.9998742341995239,,0.9999139904975891,0.9998824596405029,0.9998902281125387
bbj,,,0.9999408721923828,0.999839186668396,0.9998900294303894
fon,0.9998959898948669,,0.9999038577079773,0.9998466372489929,0.999882161617279
wol,0.9999131560325623,,0.999778687953949,0.9998995661735535,0.9998638033866882
bam,,,0.9998248815536499,0.9998593330383301,0.99984210729599
swa,0.999843955039978,,0.9997377991676331,0.9998094439506531,0.9997970660527548
pcm,0.999575138092041,,0.999627947807312,0.9998012185096741,0.9996681014696757
