,PER,LOC,DATE,ORG,Mean
ewe,0.9999974966049194,0.9999990463256836,,0.9999987483024597,0.9999984304110209
tsn,0.9999991655349731,0.999998152256012,,0.9999970197677612,0.9999981125195821
lug,0.9999992251396179,0.999998927116394,,0.9999959468841553,0.9999980330467224
twi,0.9999984502792358,0.9999987483024597,,0.9999968409538269,0.9999980131785074
hau,0.9999983310699463,0.9999985694885254,,0.999997079372406,0.9999979933102926
bam,0.999998152256012,0.9999988079071045,,0.9999967813491821,0.9999979138374329
ibo,0.9999991059303284,0.9999972581863403,,0.9999971389770508,0.9999978343645731
mos,0.9999983310699463,0.9999985694885254,,0.9999964833259583,0.9999977946281433
nya,0.9999977946281433,0.9999977946281433,,0.9999969005584717,0.9999974966049194
wol,0.9999985694885254,0.9999988079071045,,0.9999950528144836,0.9999974767367045
fon,0.9999973773956299,0.9999978542327881,,0.9999971389770508,0.9999974568684896
xho,0.9999971985816956,0.9999977350234985,,0.9999967813491821,0.9999972383181254
kin,0.9999960660934448,0.9999951124191284,,0.9999979734420776,0.9999963839848837
yor,0.9999971389770508,0.9999936819076538,,0.9999974966049194,0.9999961058298746
bbj,0.9999970197677612,0.9999915361404419,,0.9999958276748657,0.9999947945276896
swa,0.9999988675117493,0.9999955892562866,,0.999988853931427,0.9999944368998209
zul,0.9999922513961792,0.9999988675117493,,0.9999918937683105,0.9999943375587463
sna,0.9999964237213135,0.999993622303009,,0.9999914765357971,0.9999938408533732
luo,0.9999987483024597,0.999995231628418,,0.9999862313270569,0.9999934037526449
pcm,0.9999958276748657,0.9999945163726807,,0.9999874830245972,0.9999926090240479
