,DATE,ORG,LOC,PER
bam,0.9999931454658508,0.9999917149543762,0.9999954104423523,0.9999979734420776
bbj,0.9999908804893494,0.9999953508377075,0.9999914765357971,0.9999932050704956
ewe,0.9999794960021973,0.9999948740005493,0.9999951124191284,0.9999935030937195
fon,0.9999879002571106,0.9999945163726807,0.9999933838844299,0.9999951720237732
hau,0.999984622001648,0.9999833106994629,0.9999924898147583,0.9999983310699463
ibo,0.9999971985816956,0.9999961853027344,0.9999964237213135,0.9999984502792358
kin,0.9999922513961792,0.9999943971633911,0.9999966621398926,0.9999967813491821
lug,0.9999911189079285,0.9999917149543762,0.9999911189079285,0.9999980330467224
luo,0.9999950528144836,0.999983549118042,0.9999933838844299,0.9999966025352478
mos,0.9999917149543762,0.9999942183494568,0.9999956488609314,0.9999955296516418
nya,0.9999884366989136,0.9999797344207764,0.9999953508377075,0.9999984502792358
pcm,0.9999271631240845,0.9999662041664124,0.9999892115592957,0.9999958872795105
sna,0.9999932050704956,0.999995768070221,0.9999901652336121,0.9999976754188538
swa,0.9999502301216125,0.9999634027481079,0.9999901056289673,0.9999948740005493
tsn,0.9999872446060181,0.9999819993972778,0.9999908804893494,0.9999975562095642
twi,0.9999937415122986,0.9999978542327881,0.999997079372406,0.9999979734420776
wol,0.9999942183494568,0.9999858736991882,0.9999979734420776,0.9999970197677612
xho,0.999993622303009,0.9999962449073792,0.9999945163726807,0.9999948740005493
yor,0.9999963045120239,0.9999960660934448,0.9999943971633911,0.9999974370002747
zul,0.9999921321868896,0.9999969601631165,0.9999969601631165,0.9999977946281433
