,ORG,DATE,LOC,PER
bam,0.7966035008430481,,0.8150022029876709,
bbj,0.6894347667694092,,0.667641818523407,
ewe,0.8356028199195862,,,0.8536054491996765
fon,0.7414058446884155,,0.7903935313224792,0.8449721336364746
hau,0.7799779772758484,,0.8065937757492065,0.8893961310386658
ibo,0.8475120663642883,,0.8460012674331665,
kin,0.8803342580795288,,0.9233688116073608,0.928990364074707
lug,0.9385554194450378,,,0.9618654847145081
luo,0.8409075140953064,,,0.9148420095443726
mos,0.7929076552391052,,,0.8794327974319458
nya,0.8392727971076965,,0.8591793775558472,0.9322664141654968
pcm,,,0.8401497602462769,0.9157695174217224
sna,0.7919886708259583,,0.8289046883583069,0.8722409605979919
swa,0.8037012219429016,,0.8291557431221008,0.9165636897087097
tsn,0.8526355028152466,,0.8534201383590698,
twi,0.8455899357795715,,0.8482969403266907,0.9062935709953308
wol,0.8403202295303345,,0.8504822850227356,0.9036019444465637
xho,,,0.8553645014762878,0.8652191162109375
yor,0.681776762008667,,0.7375480532646179,
zul,,,0.8434202075004578,0.8831956386566162
