,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,,,,0.9822087287902832,0.18863388895988464,0.9821972846984863,0.9879116415977478,0.15548795461654663,0.9879040718078613,,,,
bbj,0.9910549521446228,0.13375374674797058,0.9910488724708557,0.9843708872795105,0.17680040001869202,0.9843599200248718,0.9885597825050354,0.1512630730867386,0.9885519742965698,,,,
ewe,0.9919375777244568,0.126984104514122,0.9919322729110718,,,,0.9911822080612183,0.1327992081642151,0.991176426410675,,,,
fon,0.989739179611206,0.14325347542762756,0.9897323846817017,0.9812509417533875,0.19364488124847412,0.9812383055686951,0.9889787435531616,0.14846700429916382,0.9889712929725647,,,,
hau,0.9903919696807861,0.1386224329471588,0.9903857707977295,0.9787368774414062,0.20621928572654724,0.9787236452102661,0.9862173795700073,0.16602793335914612,0.9862086772918701,,,,
ibo,,,,0.9852944016456604,0.17149718105793,0.9852853417396545,0.9907276034355164,0.13618022203445435,0.9907214045524597,,,,
kin,0.9933438301086426,0.11537928879261017,0.9933398365974426,0.9740715622901917,0.2277214229106903,0.9740564227104187,0.9839205145835876,0.17932893335819244,0.9839110970497131,,,,
lug,0.9964733719825745,0.08398459106683731,0.9964709281921387,,,,0.9963924884796143,0.08494243770837784,0.9963899850845337,,,,
luo,0.9932690262794495,0.11602604389190674,0.9932646155357361,,,,0.9915730953216553,0.1298219859600067,0.9915676116943359,,,,
mos,0.99232417345047,0.12390175461769104,0.9923190474510193,0.9888643026351929,0.14923550188541412,0.988857090473175,0.990391731262207,0.13862358033657074,0.9903855323791504,,,,
nya,0.9870485663414001,0.16094422340393066,0.9870408773422241,0.9737746119499207,0.22902144491672516,0.9737589955329895,0.9888125658035278,0.14958281815052032,0.9888057112693787,,,,
pcm,0.9935214519500732,0.11383023858070374,0.9935170412063599,0.987052321434021,0.16092103719711304,0.9870439171791077,0.9899686574935913,0.14164303243160248,0.9899618029594421,,,,
sna,0.9894581437110901,0.14520211517810822,0.9894518256187439,0.978122889995575,0.20917579531669617,0.9781105518341064,0.9897523522377014,0.14316177368164062,0.9897458553314209,,,,
swa,0.9858810305595398,0.16804192960262299,0.9858719110488892,0.9779637455940247,0.20993483066558838,0.9779497981071472,0.9862051010131836,0.16610188782215118,0.9861959218978882,,,,
tsn,,,,0.9808098673820496,0.19590935111045837,0.9807989597320557,0.9902170896530151,0.13987770676612854,0.990210771560669,,,,
twi,0.9940771460533142,0.10883854329586029,0.9940730333328247,0.9878759980201721,0.1557183414697647,0.9878675937652588,0.9925938844680786,0.12170615792274475,0.9925888776779175,,,,
wol,0.9914155602455139,0.13103006780147552,0.9914100170135498,0.9873722195625305,0.15892080962657928,0.987363874912262,0.9917264580726624,0.12863536179065704,0.991720974445343,,,,
xho,0.9881867170333862,0.1537100225687027,0.9881795644760132,0.9814696907997131,0.19251173734664917,0.9814584255218506,,,,,,,
yor,,,,0.9742893576622009,0.22676275670528412,0.9742723107337952,0.9843024611473083,0.17718665301799774,0.9842918515205383,,,,
zul,0.9871389865875244,0.16038136184215546,0.9871312379837036,0.9756162166595459,0.22083401679992676,0.9756023287773132,,,,,,,
