,ORG,DATE,PER,LOC,Mean
lug,0.9564143419265747,,0.9683951139450073,,0.962404727935791
kin,0.8551509380340576,,0.884593665599823,0.9063125252723694,0.88201904296875
pcm,,,0.872672975063324,0.839969277381897,0.8563211262226105
luo,0.8417686820030212,,0.8705129623413086,,0.8561408221721649
nya,0.8207089900970459,,0.8807135820388794,0.8492797613143921,0.8502341111501058
ibo,0.8301681280136108,,,0.8485047817230225,0.8393364548683167
twi,0.8142842054367065,,0.850218653678894,0.8355528116226196,0.8333518902460734
wol,0.8100799322128296,,0.8528194427490234,0.8208277821540833,0.8279090523719788
xho,,,0.8179172277450562,0.8360533714294434,0.8269852995872498
tsn,0.82262122631073,,,0.8260408043861389,0.8243310153484344
zul,,,0.8433271646499634,0.8019844889640808,0.8226558268070221
swa,0.7917729020118713,,0.8629364371299744,0.8039622902870178,0.8195572098096212
ewe,0.8117483854293823,,0.8088651895523071,,0.8103067874908447
sna,0.7670929431915283,,0.8223856687545776,0.8041808009147644,0.7978864709536234
hau,0.7600821256637573,,0.8364162445068359,0.792902946472168,0.796467105547587
mos,0.7567559480667114,,0.8151718378067017,,0.7859638929367065
bam,0.7757825255393982,,,0.7850357890129089,0.7804091572761536
fon,0.7003006339073181,,0.7834441661834717,0.7856056094169617,0.7564501365025839
yor,0.6533610224723816,,,0.7083233594894409,0.6808421909809113
bbj,0.6835943460464478,,,0.634700357913971,0.6591473519802094
