layer,model,rank_type,language,cosine
1,afroxlmr,top5,twi,0.9972511976957321
1,afroxlmr,top5,zul,0.9972355961799622
1,afroxlmr,top5,wol,0.9969829618930817
1,afroxlmr,top5,kin,0.9969226270914078
1,afroxlmr,top5,xho,0.9967654049396515
1,afroxlmr,worst5,swa,0.9899250566959381
1,afroxlmr,worst5,pcm,0.9918260425329208
1,afroxlmr,worst5,fon,0.992524579167366
1,afroxlmr,worst5,hau,0.9935290515422821
1,afroxlmr,worst5,tsn,0.9952080994844437
2,afroxlmr,top5,zul,0.9999707937240601
2,afroxlmr,top5,twi,0.9999681860208511
2,afroxlmr,top5,bam,0.9999642372131348
2,afroxlmr,top5,ibo,0.9999638795852661
2,afroxlmr,top5,xho,0.999962329864502
2,afroxlmr,worst5,swa,0.9997784942388535
2,afroxlmr,worst5,pcm,0.9997969418764114
2,afroxlmr,worst5,hau,0.9998835027217865
2,afroxlmr,worst5,fon,0.9999231994152069
2,afroxlmr,worst5,lug,0.9999293386936188
3,afroxlmr,top5,ibo,0.999996617436409
3,afroxlmr,top5,zul,0.9999963641166687
3,afroxlmr,top5,yor,0.9999959617853165
3,afroxlmr,top5,twi,0.9999958276748657
3,afroxlmr,top5,kin,0.9999952912330627
3,afroxlmr,worst5,pcm,0.9999728500843048
3,afroxlmr,worst5,swa,0.9999763369560242
3,afroxlmr,worst5,tsn,0.9999875724315643
3,afroxlmr,worst5,hau,0.9999894946813583
3,afroxlmr,worst5,ewe,0.9999904036521912
4,afroxlmr,top5,ibo,0.9999988228082657
4,afroxlmr,top5,twi,0.9999987035989761
4,afroxlmr,top5,yor,0.9999985098838806
4,afroxlmr,top5,kin,0.9999984353780746
4,afroxlmr,top5,bam,0.9999984204769135
4,afroxlmr,worst5,pcm,0.9999930113554001
4,afroxlmr,worst5,swa,0.9999935179948807
4,afroxlmr,worst5,tsn,0.9999959766864777
4,afroxlmr,worst5,ewe,0.9999965131282806
4,afroxlmr,worst5,hau,0.9999971240758896
5,afroxlmr,top5,twi,0.9999892115592957
5,afroxlmr,top5,ibo,0.9999878108501434
5,afroxlmr,top5,nya,0.9999873042106628
5,afroxlmr,top5,lug,0.9999869763851166
5,afroxlmr,top5,sna,0.9999865293502808
5,afroxlmr,worst5,pcm,0.9999678879976273
5,afroxlmr,worst5,swa,0.999976322054863
5,afroxlmr,worst5,mos,0.9999774843454361
5,afroxlmr,worst5,wol,0.9999777376651764
5,afroxlmr,worst5,fon,0.9999780058860779
6,afroxlmr,top5,ibo,0.9999997168779373
6,afroxlmr,top5,lug,0.9999996423721313
6,afroxlmr,top5,twi,0.9999996423721313
6,afroxlmr,top5,nya,0.9999995976686478
6,afroxlmr,top5,kin,0.9999995827674866
6,afroxlmr,worst5,pcm,0.9999988675117493
6,afroxlmr,worst5,swa,0.9999992251396179
6,afroxlmr,worst5,wol,0.9999993443489075
6,afroxlmr,worst5,fon,0.9999993592500687
6,afroxlmr,worst5,yor,0.9999993592500687
7,afroxlmr,top5,bam,0.9999963939189911
7,afroxlmr,top5,wol,0.9999963045120239
7,afroxlmr,top5,xho,0.9999961853027344
7,afroxlmr,top5,ibo,0.9999961256980896
7,afroxlmr,top5,mos,0.9999960511922836
7,afroxlmr,worst5,pcm,0.9999892860651016
7,afroxlmr,worst5,sna,0.9999899715185165
7,afroxlmr,worst5,swa,0.9999912977218628
7,afroxlmr,worst5,zul,0.9999932944774628
7,afroxlmr,worst5,luo,0.9999934136867523
8,afroxlmr,top5,sna,0.9997316400210062
8,afroxlmr,top5,swa,0.9996590813000997
8,afroxlmr,top5,kin,0.9996575911839803
8,afroxlmr,top5,yor,0.9996216694513956
8,afroxlmr,top5,zul,0.9996208548545837
8,afroxlmr,worst5,ewe,0.9993478059768677
8,afroxlmr,worst5,hau,0.9993537664413452
8,afroxlmr,worst5,mos,0.9993776679039001
8,afroxlmr,worst5,wol,0.9993836283683777
8,afroxlmr,worst5,luo,0.9994294047355652
9,afroxlmr,top5,ibo,0.9976296822230021
9,afroxlmr,top5,sna,0.9975806077321371
9,afroxlmr,top5,yor,0.9969784816106161
9,afroxlmr,top5,kin,0.9960128664970398
9,afroxlmr,top5,twi,0.9954594175020853
9,afroxlmr,worst5,nya,0.984724779923757
9,afroxlmr,worst5,wol,0.9858584403991699
9,afroxlmr,worst5,ewe,0.987261434396108
9,afroxlmr,worst5,mos,0.9873813192049662
9,afroxlmr,worst5,luo,0.9881891012191772
10,afroxlmr,top5,ibo,0.9985150297482809
10,afroxlmr,top5,yor,0.9984336694081625
10,afroxlmr,top5,sna,0.997591475645701
10,afroxlmr,top5,zul,0.9973145127296448
