,LOC,ORG,DATE,PER
bam,0.9999987483024597,0.9999969601631165,0.9999917149543762,0.999998152256012
bbj,0.9999935626983643,0.9999957084655762,0.9999905824661255,0.9999970197677612
ewe,0.9999992251396179,0.9999984502792358,0.9999791383743286,0.9999974370002747
fon,0.9999973773956299,0.9999971389770508,0.9999893307685852,0.9999973773956299
hau,0.9999987483024597,0.9999956488609314,0.9999889135360718,0.9999987483024597
ibo,0.9999979138374329,0.9999971389770508,0.9999903440475464,0.9999991059303284
kin,0.9999979734420776,0.9999980330467224,0.9999849796295166,0.9999960660934448
lug,0.9999991059303284,0.9999959468841553,0.9999883770942688,0.9999992251396179
luo,0.9999954104423523,0.9999951124191284,0.9999843835830688,0.9999987483024597
mos,0.9999984502792358,0.9999976754188538,0.9999902844429016,0.9999977946281433
nya,0.9999977946281433,0.9999971985816956,0.9999829530715942,0.9999977946281433
pcm,0.9999986886978149,0.9999874830245972,0.9999723434448242,0.9999986290931702
sna,0.9999940395355225,0.9999914765357971,0.9999778866767883,0.9999964833259583
swa,0.9999969005584717,0.9999919533729553,0.9999774694442749,0.9999988675117493
tsn,0.9999983906745911,0.999994158744812,0.9999866485595703,0.9999991655349731
twi,0.9999989867210388,0.999997079372406,0.9999834299087524,0.999998927116394
wol,0.9999988079071045,0.9999950528144836,0.999992847442627,0.9999985098838806
xho,0.9999979734420776,0.9999967813491821,0.9999920129776001,0.9999979734420776
yor,0.999994158744812,0.9999974966049194,0.9999950528144836,0.9999971389770508
zul,0.9999990463256836,0.9999918937683105,0.9999899864196777,0.9999922513961792
