,LOC,ORG,DATE,PER,Mean
ibo,0.9999992847442627,0.9999988675117493,0.9999988675117493,0.9999994039535522,0.9999991059303284
bam,0.9999990463256836,0.999998927116394,0.9999988675117493,0.9999992251396179,0.9999990165233612
xho,0.9999992847442627,0.9999991655349731,0.9999987483024597,0.9999986290931702,0.9999989569187164
twi,0.9999984502792358,0.9999988079071045,0.9999990463256836,0.9999994039535522,0.999998927116394
zul,0.999999463558197,0.9999992847442627,0.9999982118606567,0.9999987483024597,0.999998927116394
sna,0.999998927116394,0.9999992847442627,0.9999980330467224,0.9999991655349731,0.9999988526105881
lug,0.9999982118606567,0.9999988675117493,0.9999985098838806,0.9999998211860657,0.9999988526105881
kin,0.9999992847442627,0.9999986290931702,0.9999980926513672,0.9999994039535522,0.9999988526105881
yor,0.9999991059303284,0.9999985098838806,0.9999985694885254,0.9999990463256836,0.9999988079071045
nya,0.9999988675117493,0.9999986886978149,0.9999977946281433,0.9999996423721313,0.9999987483024597
mos,0.9999987483024597,0.9999986290931702,0.9999975562095642,0.9999991059303284,0.9999985098838806
fon,0.9999988675117493,0.9999980330467224,0.9999978542327881,0.9999988079071045,0.9999983906745911
wol,0.9999992251396179,0.999996542930603,0.9999980926513672,0.9999995827674866,0.9999983608722687
bbj,0.9999988675117493,0.9999978542327881,0.9999971389770508,0.9999991059303284,0.9999982416629791
luo,0.9999980330467224,0.9999967813491821,0.999998152256012,0.9999994039535522,0.9999980926513672
ewe,0.9999992251396179,0.9999990463256836,0.9999949336051941,0.9999986290931702,0.9999979585409164
tsn,0.9999976754188538,0.9999957084655762,0.9999964237213135,0.9999995231628418,0.9999973326921463
hau,0.9999976754188538,0.9999959468841553,0.9999964833259583,0.9999989867210388,0.9999972730875015
swa,0.9999958872795105,0.9999939799308777,0.9999901056289673,0.9999990463256836,0.9999947547912598
pcm,0.9999951124191284,0.999993622303009,0.9999883770942688,0.9999980330467224,0.9999937862157822
