,DATE,PER,LOC,ORG
bam,,0.9385590553283691,0.9264236092567444,0.8679435849189758
bbj,,0.8572577834129333,0.7872708439826965,0.810478687286377
ewe,,0.9150042533874512,0.9077464938163757,0.891259491443634
fon,,0.9035995006561279,0.876275360584259,0.8618014454841614
hau,,0.9343701004981995,0.9046236872673035,0.8494895696640015
ibo,,0.9359516501426697,0.9416429400444031,0.8963370323181152
kin,,0.9619393944740295,0.9474677443504333,0.9422124624252319
lug,,0.9823402762413025,0.9627275466918945,0.9686951041221619
luo,,0.9600858092308044,0.9574422240257263,0.9088267683982849
mos,,0.9339810609817505,0.9201999306678772,0.8908300995826721
nya,,0.970103919506073,0.9489961862564087,0.9343847632408142
pcm,,0.9527349472045898,0.9334214329719543,0.909343957901001
sna,,0.9227237701416016,0.9038963913917542,0.8734531402587891
swa,,0.9607794284820557,0.9327400326728821,0.9116441011428833
tsn,,0.954802393913269,0.9394360780715942,0.9402502179145813
twi,,0.9575844407081604,0.9290833473205566,0.9201226830482483
wol,,0.935865044593811,0.941554069519043,0.9298064708709717
xho,,0.8866692185401917,0.9120824933052063,0.9010225534439087
yor,,0.8356428742408752,0.8231819868087769,0.8010314702987671
zul,,0.9134478569030762,0.9326323866844177,0.9112783670425415
