,LOC,PER,ORG,DATE
bam,0.994459331035614,0.9947843551635742,0.9914814829826355,
bbj,0.9918131232261658,0.9926146864891052,0.991875410079956,
ewe,0.9946572780609131,0.9943468570709229,0.9929176568984985,
fon,0.9934430122375488,0.9918311238288879,0.9910022616386414,
hau,0.988662600517273,0.9904014468193054,0.989332914352417,
ibo,0.9950199723243713,0.994599461555481,0.993782639503479,
kin,0.9925089478492737,0.9950942993164062,0.9936867356300354,
lug,0.9980607032775879,0.9951801300048828,0.9971581101417542,
luo,0.9972583651542664,0.992839515209198,0.9953939318656921,
mos,0.9951150417327881,0.994682252407074,0.9936562776565552,
nya,0.9912537932395935,0.9940246939659119,0.9948480129241943,
pcm,0.9942241311073303,0.9953498244285583,0.991622269153595,
sna,0.9908443093299866,0.9911106824874878,0.9942220449447632,
swa,0.9935287833213806,0.9895670413970947,0.9930697083473206,
tsn,0.9951292872428894,0.9917514324188232,0.9954332113265991,
twi,0.9964887499809265,0.9959213733673096,0.994594156742096,
wol,0.9956622123718262,0.9932985901832581,0.9939659237861633,
xho,0.9889610409736633,0.9889779686927795,0.9929302334785461,
yor,0.991709291934967,0.9881677627563477,0.9880894422531128,
zul,0.9921577572822571,0.9891408085823059,0.9916675686836243,
