,DATE,ORG,PER,LOC
bam,,0.8953648805618286,0.9427745342254639,0.9201627373695374
bbj,,0.9367296099662781,0.9682350158691406,0.8103539347648621
ewe,,0.9274614453315735,0.9519413709640503,0.9373300075531006
fon,,0.952406108379364,0.9486606121063232,0.8867090940475464
hau,,0.9475767612457275,0.9701154232025146,0.8724524974822998
ibo,,0.9570316076278687,,0.8680486679077148
kin,,0.9189220666885376,0.9643017649650574,0.9400754570960999
lug,,0.9517862796783447,0.9458693861961365,
luo,,0.9108090400695801,0.9584597945213318,
mos,,0.9431059956550598,0.948916494846344,0.8826067447662354
nya,,0.9463621973991394,0.983757734298706,0.8933624625205994
pcm,,0.916290283203125,0.9770267605781555,0.9450216293334961
sna,,0.931517481803894,0.9630119800567627,0.8805696368217468
swa,,0.9054857492446899,0.9674336314201355,0.9554000496864319
tsn,,0.9472920894622803,,0.8787915110588074
twi,,0.9665913581848145,0.9801902770996094,0.9529374837875366
wol,,0.9270082712173462,0.9718725085258484,0.8889157176017761
xho,,0.9300475120544434,0.9061161279678345,0.8541719913482666
yor,,0.9332724213600159,,0.7191013693809509
zul,,0.9463445544242859,0.9288463592529297,0.8769745230674744
