layer,model,rank_type,language,swd_mean
1,mbert,top5,lug,0.012050145604234785
1,mbert,top5,kin,0.012628428010884818
1,mbert,top5,twi,0.012726329184260976
1,mbert,top5,nya,0.012796289143579997
1,mbert,top5,ibo,0.01315247848697254
1,mbert,worst5,yor,0.019529440687165334
1,mbert,worst5,bam,0.01682812289436697
1,mbert,worst5,bbj,0.01660997284716359
1,mbert,worst5,fon,0.016497790036510196
1,mbert,worst5,mos,0.01640734574311864
2,mbert,top5,lug,0.011746902980803497
2,mbert,top5,twi,0.012227354941160229
2,mbert,top5,nya,0.01279561700675913
2,mbert,top5,kin,0.0129989925674181
2,mbert,top5,ibo,0.013052899030071785
2,mbert,worst5,yor,0.017783781394655307
2,mbert,worst5,bam,0.016223919754793314
2,mbert,worst5,bbj,0.016108301697840943
2,mbert,worst5,mos,0.015988777867505632
2,mbert,worst5,pcm,0.01596775742450518
3,mbert,top5,twi,0.011401066048847497
3,mbert,top5,ibo,0.01152059548962825
3,mbert,top5,luo,0.011607592964992364
3,mbert,top5,kin,0.011973549264325811
3,mbert,top5,zul,0.012179802345599455
3,mbert,worst5,yor,0.017088353419921987
3,mbert,worst5,bbj,0.015253047077294468
3,mbert,worst5,bam,0.014457032638802048
3,mbert,worst5,ewe,0.01432815411340016
3,mbert,worst5,pcm,0.014219199478020528
4,mbert,top5,luo,0.010465976866044002
4,mbert,top5,tsn,0.010674324781007272
4,mbert,top5,kin,0.010692536054420998
4,mbert,top5,twi,0.010848613984990152
4,mbert,top5,lug,0.011448029070606935
4,mbert,worst5,yor,0.015437068286018985
4,mbert,worst5,bbj,0.014351333609397443
4,mbert,worst5,bam,0.01378490769070595
4,mbert,worst5,ewe,0.013643822069752787
4,mbert,worst5,xho,0.013529320649695364
5,mbert,top5,luo,0.009239820306220281
5,mbert,top5,twi,0.009298851769699468
5,mbert,top5,tsn,0.009701636676027192
5,mbert,top5,kin,0.00973875986596795
5,mbert,top5,zul,0.010061689112717431
5,mbert,worst5,yor,0.014065394327872127
5,mbert,worst5,bbj,0.01312493161663042
5,mbert,worst5,xho,0.012600105142610118
5,mbert,worst5,ewe,0.012569104806289033
5,mbert,worst5,bam,0.012423938224401354
6,mbert,top5,twi,0.008149534389417568
6,mbert,top5,luo,0.008501211074872117
6,mbert,top5,tsn,0.00923530253703575
6,mbert,top5,kin,0.009344643570784683
6,mbert,top5,hau,0.009580485111428061
6,mbert,worst5,yor,0.014643866686810725
6,mbert,worst5,mos,0.011754997051298233
6,mbert,worst5,ewe,0.011700906699388725
6,mbert,worst5,pcm,0.011615606248142285
6,mbert,worst5,lug,0.011445648722428814
7,mbert,top5,twi,0.008292060771964316
7,mbert,top5,ewe,0.009702518591439002
7,mbert,top5,lug,0.00987842148697382
7,mbert,top5,nya,0.009905771035240226
7,mbert,top5,pcm,0.00995478411065657
7,mbert,worst5,yor,0.01654934106378884
7,mbert,worst5,xho,0.014330197957860946
7,mbert,worst5,bam,0.012725712793629404
7,mbert,worst5,bbj,0.012277727633166554
7,mbert,worst5,sna,0.011561263670349339
8,mbert,top5,twi,0.010727975792481933
8,mbert,top5,lug,0.01096227064923975
8,mbert,top5,swa,0.010972919802801092
8,mbert,top5,pcm,0.011457322564941327
8,mbert,top5,kin,0.01168756251566568
8,mbert,worst5,yor,0.01553005973528343
8,mbert,worst5,xho,0.014730612785721556
8,mbert,worst5,tsn,0.013629847872531778
8,mbert,worst5,fon,0.0135796447057146
8,mbert,worst5,ewe,0.0134722760534108
9,mbert,top5,lug,0.00951117002053555
9,mbert,top5,swa,0.00976254488386985
9,mbert,top5,luo,0.009767231544174138
9,mbert,top5,nya,0.010012315774777866
9,mbert,top5,twi,0.010095024615566217
9,mbert,worst5,yor,0.016701323954293912
9,mbert,worst5,xho,0.01242327045353401
9,mbert,worst5,sna,0.012259227074537193
9,mbert,worst5,bbj,0.012073822080007327
9,mbert,worst5,zul,0.011809537681983784
10,mbert,top5,twi,0.008438423930935338
10,mbert,top5,luo,0.008704548482228347
10,mbert,top5,swa,0.008961394218052495
10,mbert,top5,lug,0.009576323028795741
10,mbert,top5,nya,0.009818602928741408
10,mbert,worst5,yor,0.014327100281207095
10,mbert,worst5,tsn,0.01276455818742761
10,mbert,worst5,ibo,0.012692340615103603
10,mbert,worst5,bam,0.01240431048093645
10,mbert,worst5,xho,0.011683616339117483
11,mbert,top5,luo,0.008863106475018867
11,mbert,top5,swa,0.008973251918784323
11,mbert,top5,twi,0.009053533767352443
11,mbert,top5,ewe,0.009054038228669015
11,mbert,top5,lug,0.0096249192306459
11,mbert,worst5,yor,0.013323927670398916
11,mbert,worst5,bam,0.012427449572442129
11,mbert,worst5,xho,0.012387344334001682
11,mbert,worst5,tsn,0.01165659090202098
11,mbert,worst5,sna,0.011362973017639888
12,mbert,top5,twi,0.014356088572640147
12,mbert,top5,swa,0.014895715400901585
12,mbert,top5,pcm,0.015176917094777309
12,mbert,top5,lug,0.01599197495079352
12,mbert,top5,mos,0.016447947738924995
12,mbert,worst5,yor,0.021872452652587526
12,mbert,worst5,bbj,0.02155186370237061
12,mbert,worst5,xho,0.021111293362082506
12,mbert,worst5,ibo,0.02066192344773299
12,mbert,worst5,bam,0.020595271908860013
