,PER,LOC,ORG,DATE,SWD_mean
bam,0.012437295985364472,0.013181001966586336,0.019882120312104234,0.012327712291153148,0.014457032638802048
bbj,0.011464361516118515,0.02040078500249365,0.012128175707402988,0.01701886608316272,0.015253047077294468
ewe,0.012027440829115221,0.012669494602960185,0.011378836482435872,0.02123684453908936,0.01432815411340016
fon,0.012968487178113719,0.01673319386463845,0.012250292395947326,0.014257653661843506,0.01405240677513575
hau,0.010877809968405927,0.018954295385810838,0.011413176522182766,0.01032846061843884,0.012893435623709593
ibo,0.011215183072636137,0.014419442259168136,0.01081392980813689,0.009633826818571833,0.01152059548962825
kin,0.012831067501792859,0.012592666456839652,0.012283144208595331,0.010187318890075403,0.011973549264325811
lug,0.013999324748510844,0.011622087246905721,0.013608626915811328,0.012076247098775639,0.012826571502500883
luo,0.011848340197502694,0.01267198379173351,0.010266987274917483,0.011643060595815768,0.011607592964992364
mos,0.012222786395795993,0.015192930334706034,0.011842845449791639,0.017077762758162862,0.014084081234614132
nya,0.010404068563730107,0.01396985319115629,0.012757029660861008,0.01236548884480726,0.012374110065138666
pcm,0.011764646633309894,0.01174362617348379,0.013412089004305017,0.01995643610098341,0.014219199478020528
sna,0.011422873270930722,0.015666386517295905,0.012210659288030001,0.011666335848531162,0.012741563731196948
swa,0.014401627774532244,0.011874646474097972,0.014935621158656431,0.013855125893314835,0.01376675532515037
tsn,0.011854955979288206,0.014282209620432695,0.011516611449224001,0.01129094499083294,0.012236180509944461
twi,0.011085128358899965,0.011949707847634272,0.008899207839931478,0.013670220148924273,0.011401066048847497
wol,0.010558644973571063,0.018240214936668053,0.010753202323030564,0.012619176271982724,0.013042809626313101
xho,0.012882660196737561,0.017645313158936915,0.012163611520008999,0.009596180063454085,0.01307194123478439
yor,0.017273242159717483,0.02071977950345172,0.015041915447000065,0.01531847656951868,0.017088353419921987
zul,0.013920055585003865,0.014257990539590537,0.010609950808429858,0.009931212449373561,0.012179802345599455
