,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9718555212020874,0.23725244402885437,0.9718143343925476,0.9295783042907715,0.37529098987579346,0.9294801354408264,0.9082772135734558,0.42830532789230347,0.9081310033798218,,,,
bbj,0.9683331251144409,0.25166231393814087,0.9682844281196594,0.8294290900230408,0.5840736031532288,0.8291853666305542,0.9461163282394409,0.32827937602996826,0.9460232853889465,,,,
ewe,0.955474853515625,0.29841291904449463,0.9554057717323303,0.9519314765930176,0.31005963683128357,0.9518654346466064,0.9550025463104248,0.29999178647994995,0.9549219608306885,,,,
fon,0.94459468126297,0.3328819274902344,0.9445081353187561,0.8675716519355774,0.5146423578262329,0.8673844933509827,0.9602844715118408,0.281835675239563,0.9602161645889282,,,,
hau,0.9645525217056274,0.26626068353652954,0.9644978642463684,0.8788764476776123,0.49218595027923584,0.8787140250205994,0.9596091508865356,0.2842215597629547,0.9595393538475037,,,,
ibo,0.975730836391449,0.22031369805335999,0.9756940007209778,0.8644010424613953,0.5207663178443909,0.8642051219940186,0.9605764150619507,0.28079766035079956,0.9605057239532471,,,,
kin,0.9615286588668823,0.27738532423973083,0.9614696502685547,0.9679795503616333,0.2530626356601715,0.9679358601570129,0.9720741510391235,0.23632976412773132,0.9720237851142883,,,,
lug,0.9380640983581543,0.3519541025161743,0.9379737973213196,0.9724015593528748,0.234940305352211,0.9723690748214722,0.9567433595657349,0.2941311299800873,0.9566702842712402,,,,
luo,0.9587177634239197,0.2873402237892151,0.9586551785469055,0.9661487340927124,0.26019716262817383,0.9661036729812622,0.9616329073905945,0.2770097255706787,0.9615705013275146,,,,
mos,0.9545880556106567,0.3013693690299988,0.9545188546180725,0.8766467571258545,0.49669551849365234,0.8764732480049133,0.9580548405647278,0.2896385192871094,0.957981288433075,,,,
nya,0.9833391904830933,0.1825435906648636,0.9833141565322876,0.8888570666313171,0.47147178649902344,0.8887060284614563,0.9697812795639038,0.24584071338176727,0.969730794429779,,,,
pcm,0.9771623015403748,0.21371857821941376,0.9771272540092468,0.9718919396400452,0.23709924519062042,0.971853494644165,0.9076843857765198,0.4296872317790985,0.9075472950935364,,,,
sna,0.9618306159973145,0.2762945592403412,0.9617718458175659,0.8712862730026245,0.5073727965354919,0.8711004853248596,0.9359536170959473,0.35790085792541504,0.9358399510383606,,,,
swa,0.9570295214653015,0.293157160282135,0.9569666981697083,0.9697813987731934,0.2458397001028061,0.9697425365447998,0.9332644939422607,0.36533692479133606,0.9331579804420471,,,,
tsn,0.9638254046440125,0.2689781188964844,0.9637693166732788,0.9388965964317322,0.3495805561542511,0.9388115406036377,0.9457336664199829,0.32944297790527344,0.9456508159637451,,,,
twi,0.9783610105514526,0.2080337554216385,0.9783279299736023,0.9725795984268188,0.23418143391609192,0.9725419878959656,0.9761953353881836,0.21819551289081573,0.9761539697647095,,,,
wol,0.9699857234954834,0.2450076788663864,0.9699394106864929,0.877679169178009,0.49461233615875244,0.877509593963623,0.9491528868675232,0.3188954293727875,0.9490728378295898,,,,
xho,0.8916984796524048,0.4654061496257782,0.8915242552757263,0.848810076713562,0.5498906970024109,0.8485888838768005,0.9371471405029297,0.3545498847961426,0.937038242816925,,,,
yor,0.9074118733406067,0.43032106757164,0.907263994216919,0.797598659992218,0.6362411975860596,0.7973002791404724,0.9351574182510376,0.36011815071105957,0.9350464344024658,,,,
zul,0.9270634055137634,0.3819342255592346,0.9269478917121887,0.9158087968826294,0.41034379601478577,0.9156900644302368,0.9507009387016296,0.31400322914123535,0.9506133198738098,,,,
