,PER,LOC,ORG,DATE,SWD_mean
bam,0.014196061806615035,0.014105497484706575,0.01657249453364784,0.012659087607971742,0.014383285358235298
bbj,0.01106787441585766,0.02067529020314396,0.01460702357962873,0.01665919129118265,0.01575234487245325
ewe,0.01345118426343106,0.013517170040358906,0.016425867743237177,0.022689197164254438,0.016520854802820395
fon,0.012049885314809217,0.014324965726700611,0.015343196609137522,0.01612059305261937,0.01445966017581668
hau,0.01232613834872609,0.016869791519638966,0.013963646747470193,0.015090031788076885,0.014562402100978034
ibo,0.012105864565455704,0.015303075720112247,0.012139240122451156,0.0118966346126399,0.012861203755164752
kin,0.012309666555665899,0.013431921535811853,0.014593802342460549,0.00888891549584514,0.01230607648244586
lug,0.013647659336129436,0.011814956438684021,0.013669802592630731,0.010451787825331849,0.01239605154819401
luo,0.01279479188087862,0.012057222549628932,0.012987268094548199,0.012326622824730293,0.012541476337446511
mos,0.012426316933670023,0.01650055607115064,0.015444107985786104,0.016322285091519007,0.015173316520531444
nya,0.01054241148813162,0.016468065296066925,0.014645629080405342,0.014408223018108401,0.014016082220678072
pcm,0.011343119501361798,0.012265099585420103,0.019641320297523635,0.01910521538411558,0.01558868869210528
sna,0.013640864773151407,0.018731644480794785,0.01539793433767045,0.010280491834237182,0.014512733856463456
swa,0.012896831493890204,0.011727018782949017,0.01620408614871849,0.012885269876278471,0.013428301575459045
tsn,0.01356365101855772,0.012966917011908663,0.014524116583743307,0.011048597702028928,0.013025820579059655
twi,0.01092787250308902,0.01144270041368145,0.013542783578486706,0.015369220022876107,0.01282064412953332
wol,0.011140416824673594,0.01862660870210675,0.015586032874125522,0.010106353051924089,0.013864852863207489
xho,0.014248326598135463,0.018476954445759475,0.01618760502879013,0.01539860251978098,0.016077872148116512
yor,0.014354224431372131,0.02305595183133846,0.015700514901254792,0.015602937823132379,0.01717840724677444
zul,0.013675651049197768,0.013186252585001057,0.014113207429545582,0.010391082413661934,0.012841548369351585
