,DATE,ORG,LOC,PER
bam,,0.9723124504089355,0.9701445698738098,0.9930548667907715
bbj,,0.9813698530197144,0.9269409775733948,0.9882156252861023
ewe,,0.9867204427719116,0.987747848033905,0.9772664308547974
fon,,0.9887593984603882,0.9509437680244446,0.9758826494216919
hau,,0.981739342212677,0.9506961703300476,0.9929246306419373
ibo,,0.9885450005531311,0.9520959854125977,0.9942850470542908
kin,,0.9896111488342285,0.9898197054862976,0.9883350729942322
lug,,0.9898399710655212,0.9927418231964111,0.9844809770584106
luo,,0.9770209789276123,0.9910960793495178,0.9874728918075562
mos,,0.9778594970703125,0.9522482752799988,0.9897444844245911
nya,,0.9852444529533386,0.9483602046966553,0.9970658421516418
pcm,,0.980498731136322,0.9905807971954346,0.9953777194023132
sna,,0.9759942293167114,0.9684091806411743,0.9875919222831726
swa,,0.9732891321182251,0.9934057593345642,0.9906853437423706
tsn,,0.9850921630859375,0.9886385798454285,0.9911489486694336
twi,,0.9929674863815308,0.9922345876693726,0.9952558875083923
wol,,0.9851306676864624,0.9600592255592346,0.9919462203979492
xho,,0.9832261204719543,0.9626742005348206,0.9548351168632507
yor,,0.9858797192573547,0.8961449265480042,0.9625098705291748
zul,,0.9880185127258301,0.9795947670936584,0.9741028547286987
