,LOC,DATE,PER,ORG,Mean
twi,0.8982755541801453,,0.9818541407585144,0.961841344833374,0.9473236799240112
lug,0.9121342301368713,,0.9684160947799683,0.9583227634429932,0.9462910294532776
ewe,0.895061731338501,,0.972416341304779,0.9423403143882751,0.9366061290105184
kin,0.8624430894851685,,0.9781836271286011,0.9586467742919922,0.9330911636352539
swa,0.9123081564903259,,0.9415048360824585,0.9239282608032227,0.9259137511253357
pcm,0.879944384098053,,0.9822025895118713,0.9054470658302307,0.9225313464800516
bam,0.8332735300064087,,0.9816375374794006,0.9239134192466736,0.9129414955774943
luo,0.7981907725334167,,0.9778236150741577,0.9411813616752625,0.9057319164276123
ibo,0.7855092287063599,,0.9698324203491211,0.9521657824516296,0.9025024771690369
fon,0.7830992937088013,,0.9588750004768372,0.9625065326690674,0.9014936089515686
tsn,0.7786997556686401,,0.9709683656692505,0.9357426166534424,0.8951369126637777
hau,0.7269909977912903,,0.9790534973144531,0.9566165208816528,0.8875536719957987
nya,0.7430341243743896,,0.974663257598877,0.9394180178642273,0.8857051332791647
mos,0.7417009472846985,,0.9541234970092773,0.9545639753341675,0.8834628065427145
zul,0.7336542010307312,,0.9574775695800781,0.9500929117202759,0.8804082274436951
wol,0.7050277590751648,,0.9798633456230164,0.9539195895195007,0.8796035647392273
sna,0.7253581881523132,,0.9747561812400818,0.928687334060669,0.8762672344843546
bbj,0.702904999256134,,0.9806329011917114,0.9421131610870361,0.8752170205116272
xho,0.6504327654838562,,0.9324421882629395,0.9422378540039062,0.841704269250234
yor,0.6284602880477905,,,0.9321737289428711,0.7803170084953308
