,LOC,DATE,PER,ORG
bam,0.9999111890792847,0.9999497532844543,0.9999840259552002,0.9999780058860779
bbj,0.9998555183410645,0.9998726844787598,0.999987006187439,0.999897837638855
ewe,0.9999690055847168,0.9991573095321655,0.9999831318855286,0.9999726414680481
fon,0.9998952746391296,0.9999531507492065,0.9999727010726929,0.9999765753746033
hau,0.9997865557670593,0.9999761581420898,0.9999846816062927,0.9999744296073914
ibo,0.9998992085456848,0.9999761581420898,0.9999867081642151,0.9999738931655884
kin,0.9999476075172424,0.9999570846557617,0.9999884366989136,0.9999898672103882
lug,0.9999750256538391,0.9999517202377319,0.999995768070221,0.9999728798866272
luo,0.999936044216156,0.9999747276306152,0.9999291896820068,0.9999600648880005
mos,0.9998906850814819,0.9999058842658997,0.9999590516090393,0.9999710917472839
nya,0.999921441078186,0.9999357461929321,0.9999932646751404,0.9999837875366211
pcm,0.9999748468399048,0.9997836351394653,0.9999882578849792,0.9999545812606812
sna,0.9997303485870361,0.9999600052833557,0.9999837875366211,0.9999685287475586
swa,0.9999865293502808,0.9999086856842041,0.9999672174453735,0.9999684691429138
tsn,0.9999605417251587,0.9999580383300781,0.9999808073043823,0.9999518394470215
twi,0.9999736547470093,0.9998942613601685,0.9999849796295166,0.9999799132347107
wol,0.9998809099197388,0.9999687671661377,0.999975860118866,0.9999732971191406
xho,0.9997169375419617,0.9999624490737915,0.9999682307243347,0.9999713897705078
yor,0.9998162984848022,0.9999380111694336,0.9999704360961914,0.9999687075614929
zul,0.9998636245727539,0.9999719858169556,0.9999619722366333,0.999984085559845
