,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.930353045463562,0.3732208013534546,0.930219292640686,0.8735747337341309,0.5028422474861145,0.8733375668525696,0.8424288630485535,0.5613752007484436,0.8421283960342407,0.9113149046897888,0.4211534857749939,0.9111177921295166,0.7979781627655029
bbj,0.925525963306427,0.38593778014183044,0.9253674745559692,0.7179416418075562,0.7510771751403809,0.7174381017684937,0.8866228461265564,0.4761875569820404,0.8863750696182251,0.8264399766921997,0.5891690254211426,0.8260681629180908,0.8025261759757996
ewe,0.9029740691184998,0.44051340222358704,0.9027682542800903,0.8850400447845459,0.4794996976852417,0.884815514087677,0.9058552980422974,0.43392324447631836,0.9056454300880432,0.6744981408119202,0.8068479299545288,0.6740076541900635,0.8239080309867859
fon,0.91440349817276,0.4137549102306366,0.9142225384712219,0.8403505086898804,0.5650657415390015,0.8400403261184692,0.9164618253707886,0.4087497293949127,0.9162811636924744,0.8616982102394104,0.5259313583374023,0.861390233039856,0.8293711543083191
hau,0.9362733960151672,0.35700586438179016,0.9361395239830017,0.8192150592803955,0.601306676864624,0.8188871741294861,0.9229851365089417,0.39246636629104614,0.9228197932243347,0.8968602418899536,0.4541798532009125,0.8966397643089294,0.8879027366638184
ibo,0.9357719421386719,0.3584078252315521,0.9356347322463989,0.8457607626914978,0.5554085373878479,0.845456600189209,0.9258610010147095,0.3850690424442291,0.9256954789161682,0.9504189491271973,0.31490010023117065,0.9503048658370972,0.7204902172088623
kin,0.9437535405158997,0.3353992700576782,0.9436377882957458,0.9029264450073242,0.44062086939811707,0.9027482867240906,0.8681266903877258,0.5135629177093506,0.8678619265556335,0.9321333765983582,0.36841967701911926,0.9319809079170227,0.9185144901275635
lug,0.9223417043685913,0.3941022455692291,0.9221855998039246,0.9239988923072815,0.3898742198944092,0.923862099647522,0.9330518245697021,0.36591872572898865,0.9329078197479248,0.9599626660346985,0.2829747498035431,0.9598705768585205,0.9933751225471497
luo,0.9197593927383423,0.40060096979141235,0.9195895791053772,0.9193435311317444,0.4016377925872803,0.9191946387290955,0.8369051814079285,0.5711305141448975,0.836557924747467,0.9341849684715271,0.36280909180641174,0.934042751789093,0.8540533781051636
mos,0.9275085926055908,0.3807663917541504,0.9273540377616882,0.846461832523346,0.5541447997093201,0.8461674451828003,0.9028245210647583,0.4408525824546814,0.9026134610176086,0.897775411605835,0.4521605670452118,0.8975505828857422,0.7693355679512024
nya,0.9495956897735596,0.31750404834747314,0.9494881629943848,0.8393566012382507,0.5668219327926636,0.8390488028526306,0.9340077638626099,0.3632968068122864,0.9338616132736206,0.9060019850730896,0.43358561396598816,0.9057979583740234,0.8296453356742859
pcm,0.9365077614784241,0.3563487231731415,0.9363735914230347,0.8820121884346008,0.48577287793159485,0.8817822337150574,0.8471755981445312,0.5528554320335388,0.8468590378761292,0.7228784561157227,0.7444748282432556,0.722291111946106,0.810793936252594
sna,0.9279773235321045,0.3795327842235565,0.9278234839439392,0.8445078730583191,0.5576595067977905,0.8442049026489258,0.9197701811790466,0.40057405829429626,0.9195952415466309,0.9538496136665344,0.3038107752799988,0.953745424747467,0.787693977355957
swa,0.9344395399093628,0.3621065020561218,0.9343044757843018,0.9148398041725159,0.4126989543437958,0.9146829843521118,0.8476067185401917,0.5520749092102051,0.8472850918769836,0.8731682896614075,0.5036503076553345,0.8728829622268677,0.9279357194900513
tsn,0.9344822764396667,0.36198821663856506,0.93434077501297,0.8835318088531494,0.4826350510120392,0.8833044767379761,0.9109556674957275,0.42200562357902527,0.9107588529586792,0.9391058087348938,0.34898197650909424,0.9389682412147522,0.9157968759536743
twi,0.9482618570327759,0.32167762517929077,0.9481543302536011,0.9197172522544861,0.4007064402103424,0.9195700883865356,0.9412919282913208,0.342660516500473,0.9411641955375671,0.9080651998519897,0.4288000166416168,0.9078704118728638,0.994836151599884
wol,0.9370336532592773,0.3548699915409088,0.9368970990180969,0.8186097741127014,0.6023129820823669,0.818265974521637,0.88352370262146,0.4826516807079315,0.8832765221595764,0.9321237802505493,0.3684461712837219,0.9319660067558289,0.8952979445457458
xho,0.8899710774421692,0.46910351514816284,0.8897281885147095,0.798795223236084,0.6343575716018677,0.7984009981155396,0.9139716625213623,0.41479721665382385,0.9137853980064392,0.9072128534317017,0.43078362941741943,0.9070013165473938,0.8180768489837646
yor,0.8577384352684021,0.5334069728851318,0.8574267029762268,0.6766690611839294,0.8041529059410095,0.6760237812995911,0.8890122771263123,0.47114309668540955,0.8887694478034973,0.8668532967567444,0.5160362720489502,0.8665332198143005,0.6732655763626099
zul,0.9009111523628235,0.4451715350151062,0.9006932377815247,0.8721213936805725,0.505724310874939,0.8718693256378174,0.9252080917358398,0.3867606222629547,0.9250422716140747,0.9318103790283203,0.3692959249019623,0.9316504001617432,0.9107592701911926
