,PER,DATE,LOC,ORG
bam,0.9647475481033325,0.9568044543266296,0.9346068501472473,0.9011324048042297
bbj,0.9603711366653442,0.891252875328064,0.8337953686714172,0.9479691982269287
ewe,0.9531406760215759,0.8465027213096619,0.9394427537918091,0.9679057598114014
fon,0.954194962978363,0.922031819820404,0.9157558679580688,0.9616182446479797
hau,0.9699032306671143,0.9519923329353333,0.9082075357437134,0.9716270565986633
ibo,0.9699020981788635,0.9651920199394226,0.911359429359436,0.9696431159973145
kin,0.9738335609436035,0.9609909057617188,0.9486493468284607,0.9717739820480347
lug,0.9583017826080322,0.9399145245552063,0.9594957828521729,0.9736197590827942
luo,0.9599282741546631,0.9510728120803833,0.9596942663192749,0.9703981876373291
mos,0.9633389711380005,0.8980942368507385,0.9196671843528748,0.964582622051239
nya,0.9724553227424622,0.9486234784126282,0.9177026748657227,0.9659140110015869
pcm,0.968646764755249,0.8296468257904053,0.9390819072723389,0.9369300007820129
sna,0.9636607766151428,0.9551827907562256,0.9046302437782288,0.9617727994918823
swa,0.9552224278450012,0.9147453308105469,0.9551032185554504,0.9377233982086182
tsn,0.9632148146629333,0.9589464664459229,0.9343904256820679,0.9580353498458862
twi,0.9753105044364929,0.9449974894523621,0.961328387260437,0.9751284718513489
wol,0.9685389399528503,0.944831371307373,0.9090613126754761,0.9641469120979309
xho,0.934640645980835,0.938340961933136,0.8995658159255981,0.9620756506919861
yor,0.909369945526123,0.9183470606803894,0.7869393229484558,0.9487665891647339
zul,0.9427623748779297,0.9562636613845825,0.9322556257247925,0.9702582359313965
