,ORG,PER,LOC,DATE,Mean
kin,0.9794596433639526,0.9738335609436035,0.9595327377319336,0.9684854745864868,0.9703278541564941
twi,0.9788730144500732,0.974845826625824,0.963188648223877,0.9563753008842468,0.9683206975460052
luo,0.9681281447410583,0.9599282741546631,0.9596942663192749,0.9687105417251587,0.9641153067350388
ibo,0.9696431159973145,0.9699020981788635,0.9272140860557556,0.9820943474769592,0.9622134119272232
lug,0.9736197590827942,0.9583017826080322,0.9594957828521729,0.9526492953300476,0.9610166549682617
nya,0.9784435629844666,0.9762459397315979,0.9177026748657227,0.9615992903709412,0.9584978669881821
hau,0.9743240475654602,0.9691340923309326,0.9096840620040894,0.9648783206939697,0.954505130648613
tsn,0.9501799941062927,0.9632148146629333,0.9343904256820679,0.9671380519866943,0.9537308216094971
zul,0.9702582359313965,0.9427623748779297,0.9293552041053772,0.9718149304389954,0.9535476863384247
sna,0.9617727994918823,0.971638023853302,0.9046302437782288,0.9751105308532715,0.9532878994941711
swa,0.9509032368659973,0.9552224278450012,0.9629230499267578,0.9410860538482666,0.9525336921215057
wol,0.9641469120979309,0.9696062207221985,0.9127230048179626,0.9628111124038696,0.9523218125104904
xho,0.9620756506919861,0.9531771540641785,0.8973420262336731,0.9817007780075073,0.9485739022493362
bam,0.9248302578926086,0.9647475481033325,0.9346068501472473,0.9528099298477173,0.9442486464977264
mos,0.9682899117469788,0.9633550047874451,0.9196671843528748,0.9139707684516907,0.9413207173347473
fon,0.9616182446479797,0.954194962978363,0.9009692072868347,0.9232315421104431,0.9350034892559052
ewe,0.9665717482566833,0.9559844136238098,0.9394427537918091,0.864911675453186,0.9317276477813721
pcm,0.9369300007820129,0.968646764755249,0.9487493634223938,0.8656073212623596,0.9299833625555038
bbj,0.949980616569519,0.9603711366653442,0.8452555537223816,0.9203331470489502,0.9189851135015488
yor,0.9482332468032837,0.909369945526123,0.8397284150123596,0.9288508892059326,0.9065456241369247
