layer,model,rank_type,language,cosine
1,mbert,top5,kin,0.8774449080228806
1,mbert,top5,lug,0.8639498651027679
1,mbert,top5,nya,0.8530217558145523
1,mbert,top5,luo,0.8400064557790756
1,mbert,top5,twi,0.8395261615514755
1,mbert,worst5,yor,0.648464247584343
1,mbert,worst5,bbj,0.6662558689713478
1,mbert,worst5,mos,0.7195606529712677
1,mbert,worst5,bam,0.7362746745347977
1,mbert,worst5,fon,0.7399773001670837
2,mbert,top5,lug,0.8869129419326782
2,mbert,top5,kin,0.8867963403463364
2,mbert,top5,nya,0.8704580366611481
2,mbert,top5,twi,0.8622215837240219
2,mbert,top5,sna,0.8609431236982346
2,mbert,worst5,yor,0.6905728727579117
2,mbert,worst5,bbj,0.7061946392059326
2,mbert,worst5,pcm,0.7565654367208481
2,mbert,worst5,ewe,0.7582671791315079
2,mbert,worst5,mos,0.7697450071573257
3,mbert,top5,kin,0.9317386150360107
3,mbert,top5,lug,0.9284287542104721
3,mbert,top5,nya,0.9239151775836945
3,mbert,top5,twi,0.9171691387891769
3,mbert,top5,ibo,0.9120056182146072
3,mbert,worst5,yor,0.809810683131218
3,mbert,worst5,bbj,0.8119415640830994
3,mbert,worst5,ewe,0.8452652245759964
3,mbert,worst5,pcm,0.8469894379377365
3,mbert,worst5,bam,0.8589540868997574
4,mbert,top5,kin,0.9453880786895752
4,mbert,top5,lug,0.9429196417331696
4,mbert,top5,nya,0.9392963349819183
4,mbert,top5,twi,0.9365792721509933
4,mbert,top5,ibo,0.9302964210510254
4,mbert,worst5,yor,0.8475492298603058
4,mbert,worst5,bbj,0.8516729027032852
4,mbert,worst5,pcm,0.8743503391742706
4,mbert,worst5,ewe,0.8779993951320648
4,mbert,worst5,mos,0.8891308456659317
5,mbert,top5,kin,0.9608642756938934
5,mbert,top5,nya,0.9574532061815262
5,mbert,top5,lug,0.9543406218290329
5,mbert,top5,twi,0.9543153494596481
5,mbert,top5,luo,0.9513979852199554
5,mbert,worst5,yor,0.8896530866622925
5,mbert,worst5,bbj,0.8930466771125793
5,mbert,worst5,pcm,0.9064196199178696
5,mbert,worst5,ewe,0.911289319396019
5,mbert,worst5,mos,0.9192504435777664
6,mbert,top5,kin,0.9695397913455963
6,mbert,top5,twi,0.9636723697185516
6,mbert,top5,luo,0.9611960798501968
6,mbert,top5,ibo,0.960698276758194
6,mbert,top5,lug,0.9582426846027374
6,mbert,worst5,yor,0.909414142370224
6,mbert,worst5,bbj,0.9133972227573395
6,mbert,worst5,pcm,0.9241695702075958
6,mbert,worst5,ewe,0.9296487122774124
6,mbert,worst5,fon,0.9317690283060074
7,mbert,top5,kin,0.9561696648597717
7,mbert,top5,twi,0.9465929865837097
7,mbert,top5,luo,0.9432543069124222
7,mbert,top5,lug,0.9409264624118805
7,mbert,top5,ibo,0.9345307946205139
7,mbert,worst5,yor,0.8742014616727829
7,mbert,worst5,bbj,0.8813321888446808
7,mbert,worst5,pcm,0.8907999843358994
7,mbert,worst5,ewe,0.9007124602794647
7,mbert,worst5,fon,0.9033475816249847
8,mbert,top5,kin,0.952345093091329
8,mbert,top5,twi,0.9488147497177124
8,mbert,top5,lug,0.9360284606615702
8,mbert,top5,luo,0.930448591709137
8,mbert,top5,nya,0.9269134799639384
8,mbert,worst5,yor,0.8531153599421183
8,mbert,worst5,bbj,0.8646822969118754
8,mbert,worst5,xho,0.8730177680651346
8,mbert,worst5,swa,0.8916624784469604
8,mbert,worst5,fon,0.8967922925949097
9,mbert,top5,kin,0.9641342957814535
9,mbert,top5,twi,0.9633580048878988
9,mbert,top5,lug,0.9545708696047465
9,mbert,top5,luo,0.951874832312266
9,mbert,top5,nya,0.9470268686612447
9,mbert,worst5,yor,0.8968510826428732
9,mbert,worst5,bbj,0.9053424398104349
9,mbert,worst5,bam,0.912786602973938
9,mbert,worst5,xho,0.915084719657898
9,mbert,worst5,swa,0.9277177651723226
10,mbert,top5,kin,0.970911959807078
10,mbert,top5,twi,0.9684961835543314
10,mbert,top5,nya,0.9620208740234375
10,mbert,top5,lug,0.9617953896522522
10,mbert,top5,hau,0.9609054525693258
10,mbert,worst5,yor,0.9083975156148275
10,mbert,worst5,bbj,0.9277850190798441
10,mbert,worst5,bam,0.9284248948097229
10,mbert,worst5,xho,0.9361766974131266
10,mbert,worst5,ewe,0.946216364701589
11,mbert,top5,kin,0.9655704498291016
11,mbert,top5,twi,0.9654853940010071
11,mbert,top5,nya,0.9632924397786459
11,mbert,top5,lug,0.9608548879623413
11,mbert,top5,ibo,0.9606602589289347
11,mbert,worst5,yor,0.9090097745259603
11,mbert,worst5,bbj,0.925921618938446
11,mbert,worst5,bam,0.9314952691396078
11,mbert,worst5,xho,0.9406263828277588
11,mbert,worst5,ewe,0.9461945096651713
12,mbert,top5,kin,0.824775218963623
12,mbert,top5,twi,0.8210586706797282
12,mbert,top5,nya,0.8133859038352966
12,mbert,top5,hau,0.804873009522756
12,mbert,top5,sna,0.8033643960952759
12,mbert,worst5,yor,0.5951289236545563
12,mbert,worst5,bbj,0.669699231783549
12,mbert,worst5,fon,0.7250008384386698
12,mbert,worst5,pcm,0.7307117780049642
12,mbert,worst5,xho,0.7327477335929871
