,LOC,ORG,DATE,PER
bam,0.9414341449737549,0.8828185796737671,,0.9702330827713013
bbj,0.8737415075302124,0.9446627497673035,,0.9593605995178223
ewe,0.9205161929130554,0.9587516784667969,,0.9593156576156616
fon,0.9340314269065857,0.9557765126228333,,0.9551599025726318
hau,0.9333122372627258,0.9731673002243042,,0.9738273024559021
ibo,0.938897967338562,0.9711296558380127,,0.9719531536102295
kin,0.9467924237251282,0.9741144776344299,,0.9758044481277466
lug,0.9466739892959595,0.9729083776473999,,0.9629822969436646
luo,0.9530680775642395,0.9473023414611816,,0.969927966594696
mos,0.9337579607963562,0.9578968286514282,,0.9652983546257019
nya,0.9355226755142212,0.973870575428009,,0.9804840683937073
pcm,0.9266331791877747,0.9463518857955933,,0.9708671569824219
sna,0.9285281300544739,0.9719409346580505,,0.9664634466171265
swa,0.9409358501434326,0.9483513236045837,,0.9627912640571594
tsn,0.9320483207702637,0.9706850051879883,,0.971782922744751
twi,0.9411949515342712,0.9779003262519836,,0.9773609042167664
wol,0.917287290096283,0.9630061388015747,,0.9704222679138184
xho,0.9180451035499573,0.9673839211463928,,0.9364501237869263
yor,0.8561354875564575,0.9429250359535217,,0.9279688000679016
zul,0.9313129186630249,0.9761744141578674,,0.9635878205299377
