,PER,ORG,LOC,DATE
bam,0.9627273678779602,0.8661864399909973,0.9469843506813049,
bbj,0.9549515247344971,0.9426427483558655,0.8838130831718445,
ewe,0.9487615823745728,0.9579329490661621,0.9324772357940674,
fon,0.9472375512123108,0.9413308501243591,0.9253900647163391,
hau,0.9681094288825989,0.9729273319244385,0.9303042888641357,
ibo,0.9641662240028381,0.969931960105896,0.9429831504821777,
kin,0.9725548028945923,0.9776338934898376,0.9672067165374756,
lug,0.9699417352676392,0.97093665599823,0.9646955728530884,
luo,0.9594557881355286,0.9701995849609375,0.963440477848053,
mos,0.953557014465332,0.9565057754516602,0.9431280493736267,
nya,0.9760477542877197,0.9741755127906799,0.9329969882965088,
pcm,0.960197925567627,0.9408291578292847,0.9439979791641235,
sna,0.9728802442550659,0.9738336801528931,0.9194934368133545,
swa,0.9442976713180542,0.9503507614135742,0.944234311580658,
tsn,0.9636595249176025,0.963553249835968,0.9329684376716614,
twi,0.969456672668457,0.9802340269088745,0.962887704372406,
wol,0.9641514420509338,0.9625946283340454,0.9177299737930298,
xho,0.9089043140411377,0.96112060546875,0.9173938632011414,
yor,0.9199219942092896,0.9510754942893982,0.8869567513465881,
zul,0.9543631672859192,0.9703967571258545,0.9398423433303833,
