,LOC,ORG,DATE,PER
bam,0.9667259454727173,0.9382197856903076,,
bbj,0.9309378266334534,0.9544111490249634,,
ewe,,0.9516717791557312,,0.9763462543487549
fon,0.9597103595733643,0.9629663825035095,,0.9493833780288696
hau,0.9686988592147827,0.9738887548446655,,0.9810978174209595
ibo,0.9721798300743103,0.9633913636207581,,
kin,0.9651142358779907,0.9601107835769653,,0.9870883226394653
lug,,0.9823111891746521,,0.9899434447288513
luo,,0.957158088684082,,0.9853625893592834
mos,,0.9669975638389587,,0.9806787967681885
nya,0.9635201096534729,0.9689958095550537,,
pcm,0.9293052554130554,,,0.9793574213981628
sna,0.9784281253814697,,,0.9801879525184631
swa,0.9634165167808533,0.9296199679374695,,0.975645899772644
tsn,0.949765682220459,0.958977222442627,,
twi,0.9688242077827454,0.9757629632949829,,0.986809253692627
wol,0.9713874459266663,0.9636942148208618,,0.9583536386489868
xho,0.9652697443962097,,,0.9615455269813538
yor,0.9337874054908752,0.9635013341903687,,
zul,0.9678542017936707,,,
