,DATE,ORG,PER,LOC
bam,,0.9413147568702698,,
bbj,,0.9229375123977661,,
ewe,,0.9284498691558838,0.903998851776123,
fon,,,0.8889496326446533,
hau,,0.9394103288650513,0.9230669736862183,
ibo,,0.9525002241134644,,0.940088152885437
kin,,0.974275529384613,,
lug,,0.9878981113433838,0.9283556342124939,
luo,,0.9644902944564819,0.9073237180709839,
mos,,0.9615307450294495,0.9178206920623779,
nya,,0.9760044813156128,,
pcm,,,0.8725266456604004,0.8885051608085632
sna,,,0.8980029821395874,0.9348001480102539
swa,,,0.8939748406410217,
tsn,,0.9643619060516357,,0.925626814365387
twi,,,0.9241337776184082,
wol,,0.9697858095169067,,
xho,,,0.906455934047699,0.9348706603050232
yor,,0.9395933747291565,,0.8926346898078918
zul,,,,0.9220721125602722
