,ORG,PER,LOC,DATE
bam,0.936633288860321,0.984282374382019,0.968744695186615,
bbj,0.9656246900558472,0.9712507128715515,0.9303792119026184,
ewe,0.9785885810852051,0.9745115041732788,0.9770098328590393,
fon,0.9681195616722107,0.9585990905761719,0.9727914929389954,
hau,0.9827684760093689,0.9888723492622375,0.9827767610549927,
ibo,0.9791582822799683,0.9862683415412903,0.9750551581382751,
kin,0.9890772700309753,0.9943639636039734,0.9829186201095581,
lug,0.9917410612106323,0.9888763427734375,0.9805179238319397,
luo,0.9726186394691467,0.9724112153053284,0.9878255724906921,
mos,0.9820230007171631,0.9829756617546082,0.9843463897705078,
nya,0.9900777339935303,0.9786554574966431,0.9793797135353088,
pcm,0.9680025577545166,0.9721829891204834,0.960143506526947,
sna,0.9896184206008911,0.9795735478401184,0.9926039576530457,
swa,0.9573075771331787,0.9518048763275146,0.9711884260177612,
tsn,0.9839116334915161,0.9801953434944153,0.9786919951438904,
twi,0.9857125282287598,0.9825531244277954,0.9798727035522461,
wol,0.9820060133934021,0.9716674089431763,0.9816899299621582,
xho,0.9881986975669861,0.9552667737007141,0.9799151420593262,
yor,0.9689375162124634,0.9541105031967163,0.9449110627174377,
zul,0.9903432726860046,0.9780698418617249,0.9687252044677734,
