,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9998515248298645,0.017237864434719086,0.9998512268066406,0.9998096823692322,0.019512996077537537,0.9998093247413635,0.9998005628585815,0.0199719350785017,0.9998003840446472,0.9998143315315247,0.019274361431598663,0.9998141527175903,0.9766159653663635
bbj,0.9997891187667847,0.02053922228515148,0.9997889399528503,0.9996663331985474,0.025837372988462448,0.9996659159660339,0.9996915459632874,0.024838637560606003,0.9996911883354187,0.9996634721755981,0.02594524435698986,0.9996631741523743,0.7530164122581482
ewe,0.9998510479927063,0.017259640619158745,0.9998509287834167,0.999788224697113,0.020583581179380417,0.9997881054878235,0.9997921586036682,0.020393898710608482,0.9997919201850891,0.999677300453186,0.025402775034308434,0.9996770620346069,0.7815823554992676
fon,0.9997875690460205,0.020614949986338615,0.9997872710227966,0.9997564554214478,0.02207351103425026,0.9997561573982239,0.9997543692588806,0.022166820243000984,0.9997542500495911,0.9996141791343689,0.027772651985287666,0.9996139407157898,0.9698456525802612
hau,0.9999487400054932,0.010131650604307652,0.9999486207962036,0.9998981356620789,0.014281967654824257,0.9998977780342102,0.9999198913574219,0.012653585523366928,0.9999199509620667,0.9998741149902344,0.015872737392783165,0.9998738765716553,0.847333550453186
ibo,0.9999226331710815,0.01244842354208231,0.9999223947525024,0.9999052882194519,0.013768375851213932,0.9999051094055176,0.9998413324356079,0.017812134698033333,0.9998412132263184,0.9998644590377808,0.01646430976688862,0.9998643398284912,0.8905417919158936
kin,0.9999675750732422,0.00804069172590971,0.9999675750732422,0.9999495148658752,0.010056727565824986,0.9999492764472961,0.9999330639839172,0.011588373221457005,0.9999328851699829,0.9998978972434998,0.01429408323019743,0.9998977184295654,0.7808018922805786
lug,0.9999859929084778,0.00530075840651989,0.9999858140945435,0.9998618364334106,0.016628896817564964,0.9998616576194763,0.9999719858169556,0.007488539442420006,0.9999719858169556,0.9999222159385681,0.012482785619795322,0.999921977519989,0.5256766676902771
luo,0.9998995661735535,0.014172554947435856,0.9998993277549744,0.999866247177124,0.016361450776457787,0.9998660683631897,0.9998457431793213,0.017565365880727768,0.9998456835746765,0.9998105764389038,0.0194641575217247,0.9998103976249695,0.9566594958305359
mos,0.9998932480812073,0.014612223021686077,0.9998931288719177,0.9998776912689209,0.015642806887626648,0.9998775720596313,0.9998511075973511,0.01725149154663086,0.9998510479927063,0.9997836947441101,0.020803049206733704,0.9997833371162415,0.9677866697311401
nya,0.9999603033065796,0.00891928467899561,0.9999602437019348,0.9999224543571472,0.01245859730988741,0.9999222755432129,0.9999542236328125,0.009577693417668343,0.9999539852142334,0.9998840689659119,0.015229358337819576,0.9998838901519775,0.9216009378433228
pcm,0.9997634291648865,0.02174866758286953,0.9997632503509521,0.9996199607849121,0.027570437639951706,0.9996196031570435,0.9996255040168762,0.027373135089874268,0.999625027179718,0.9994530081748962,0.033079396933317184,0.9994522333145142,0.8877695798873901
sna,0.9999564290046692,0.009340316988527775,0.9999563694000244,0.9999070167541504,0.013648065738379955,0.9999068379402161,0.9999534487724304,0.009660023264586926,0.9999531507492065,0.9998632073402405,0.016545109450817108,0.9998630285263062,0.5299455523490906
swa,0.9998955726623535,0.014452328905463219,0.9998952746391296,0.9997224807739258,0.02356705814599991,0.9997221231460571,0.9997667074203491,0.02160150744020939,0.9997665286064148,0.9997546672821045,0.02215520292520523,0.9997543096542358,0.5547216534614563
tsn,0.999927282333374,0.01206216961145401,0.9999270439147949,0.9998309016227722,0.018398554995656013,0.9998304843902588,0.999825656414032,0.018669407814741135,0.9998255968093872,0.9998947978019714,0.014507018029689789,0.9998947381973267,0.7311637997627258
twi,0.9998638033866882,0.01650846004486084,0.9998636245727539,0.9998085498809814,0.019564535468816757,0.9998084306716919,0.999860405921936,0.01671203412115574,0.9998602271080017,0.999790608882904,0.020471077412366867,0.999790370464325,0.8846791386604309
wol,0.9998857378959656,0.01512705348432064,0.9998854994773865,0.9998236298561096,0.01878943480551243,0.9998233318328857,0.999806821346283,0.01965315081179142,0.9998067617416382,0.9998162388801575,0.019177045673131943,0.9998160004615784,0.9828376173973083
xho,0.9998992085456848,0.01420657243579626,0.9998989701271057,0.9999064803123474,0.013684711419045925,0.9999063611030579,0.9999163150787354,0.012947778217494488,0.9999160170555115,0.999930202960968,0.011817083694040775,0.9999300241470337,0.6201765537261963
yor,0.9997301697731018,0.023232556879520416,0.9997299313545227,0.999596893787384,0.028398292139172554,0.9995964169502258,0.9997276067733765,0.023338692262768745,0.9997274279594421,0.9995367527008057,0.030438991263508797,0.9995362758636475,0.8472312092781067
zul,0.9999197125434875,0.012682316824793816,0.9999193549156189,0.9998993873596191,0.014194042421877384,0.9998992085456848,0.9999585747718811,0.009091489017009735,0.9999586939811707,0.9998809695243835,0.015431225299835205,0.9998807907104492,0.5500571727752686
