,DATE,PER,ORG,LOC
bam,,0.9681983590126038,0.9465147256851196,0.9571646451950073
bbj,,0.9556339383125305,0.9606322646141052,0.933386504650116
ewe,,0.9602751135826111,0.9743663668632507,0.9651305675506592
fon,,0.9508904218673706,0.9588291049003601,0.9599243402481079
hau,,0.9863699674606323,0.9842734336853027,0.9771537184715271
ibo,,0.985614001750946,0.9764537811279297,0.9740360975265503
kin,,0.9898995757102966,0.9860041737556458,0.9827982187271118
lug,,0.9864984750747681,0.9911699295043945,0.9759531021118164
luo,,0.9713073968887329,0.9802640676498413,0.9738662838935852
mos,,0.9758762121200562,0.9783414006233215,0.9786038994789124
nya,,0.9771645069122314,0.9894843697547913,0.971316933631897
pcm,,0.9505695700645447,0.9522430300712585,0.951166570186615
sna,,0.9847223162651062,0.9858046770095825,0.9878615140914917
swa,,0.9293244481086731,0.9392346143722534,0.9290351271629333
tsn,,0.9750264286994934,0.9791116714477539,0.9684871435165405
twi,,0.9743449091911316,0.9809393286705017,0.979941189289093
wol,,0.9725508689880371,0.9791523218154907,0.975979745388031
xho,,0.9537492990493774,0.9840911626815796,0.9780056476593018
yor,,0.9383921027183533,0.9587411284446716,0.9413217306137085
zul,,0.9730907082557678,0.9892120361328125,0.9656838178634644
