,PER,DATE,LOC,ORG,Mean
kin,0.9963095188140869,0.9899495244026184,0.9949278235435486,0.9940328001976013,0.9938049167394638
lug,0.9981465339660645,0.9869646430015564,0.9906709790229797,0.9954479932785034,0.992807537317276
nya,0.9961360692977905,0.9893510341644287,0.9904091954231262,0.9948437213897705,0.992685005068779
luo,0.9937711358070374,0.9911603927612305,0.9926905035972595,0.9911530017852783,0.9921937584877014
sna,0.9961864352226257,0.9840964078903198,0.9930922985076904,0.9950470924377441,0.992105558514595
xho,0.9895413517951965,0.9938725233078003,0.9905282855033875,0.9937491416931152,0.9919228255748749
zul,0.9946027398109436,0.9917064309120178,0.9842579364776611,0.9943611025810242,0.9912320524454117
twi,0.9962329268455505,0.9804445505142212,0.9930362105369568,0.9943051934242249,0.9910047203302383
ibo,0.9944654107093811,0.9928146600723267,0.9862501621246338,0.98775315284729,0.9903208464384079
hau,0.9919261336326599,0.9877985715866089,0.9877341985702515,0.9912176728248596,0.989669144153595
bam,0.9912251234054565,0.985917866230011,0.9894839525222778,0.9899725317955017,0.9891498684883118
swa,0.9959309697151184,0.9861879348754883,0.9879977703094482,0.9859966039657593,0.9890283197164536
mos,0.9952564835548401,0.9742478728294373,0.991544783115387,0.9927458167076111,0.9884487390518188
tsn,0.9936643838882446,0.9908645749092102,0.9823073148727417,0.9866800904273987,0.9883790910243988
ewe,0.9930094480514526,0.97676682472229,0.988906979560852,0.9929448962211609,0.9879070371389389
wol,0.9937233924865723,0.9806016087532043,0.9833977222442627,0.9909902215003967,0.987178236246109
pcm,0.9942088723182678,0.9698576331138611,0.9876631498336792,0.9864421486854553,0.9845429509878159
fon,0.9895130395889282,0.9613200426101685,0.9838587045669556,0.9885144233703613,0.9808015525341034
bbj,0.987625777721405,0.9765267968177795,0.9643599987030029,0.9830329418182373,0.9778863787651062
yor,0.977716863155365,0.9782041907310486,0.9628245830535889,0.9834229350090027,0.9755421429872513
