,LOC,ORG,DATE,PER,Mean
kin,0.9895586967468262,0.9867488145828247,0.9731598496437073,0.9908803701400757,0.9850869327783585
sna,0.9873200058937073,0.9896788597106934,0.9663867950439453,0.9913404583930969,0.9836815297603607
nya,0.9788505434989929,0.9895824193954468,0.9700501561164856,0.9927927851676941,0.9828189760446548
lug,0.9794327020645142,0.9909786581993103,0.9644892811775208,0.9957837462425232,0.9826710969209671
xho,0.9826116561889648,0.9871854782104492,0.9828248620033264,0.9747373461723328,0.9818398356437683
twi,0.9853156805038452,0.9866835474967957,0.9639447331428528,0.9894317984580994,0.9813439399003983
ibo,0.9736752510070801,0.9727506041526794,0.9839024543762207,0.9914660453796387,0.9804485887289047
luo,0.9826709032058716,0.9724422693252563,0.9757272601127625,0.9891615509986877,0.9800004959106445
zul,0.964337170124054,0.9911261796951294,0.9742397665977478,0.9858924746513367,0.978898897767067
hau,0.9739593863487244,0.9822299480438232,0.9753135442733765,0.9837321639060974,0.9788087606430054
mos,0.9810709357261658,0.9854766726493835,0.9572925567626953,0.9900914430618286,0.9784829020500183
wol,0.9670528769493103,0.9812002182006836,0.9629070162773132,0.9839835166931152,0.9737859070301056
bam,0.9736060500144958,0.9758187532424927,0.9625462293624878,0.9795590043067932,0.9728825092315674
swa,0.9680705666542053,0.9698410630226135,0.9580450057983398,0.9896978735923767,0.9714136272668839
ewe,0.965774655342102,0.9817113876342773,0.9516894221305847,0.9843105673789978,0.9708715081214905
tsn,0.9573426246643066,0.9655365347862244,0.9769076108932495,0.9785119891166687,0.9695746898651123
fon,0.963878870010376,0.9765105843544006,0.9358518123626709,0.97177654504776,0.9620044529438019
bbj,0.9345760941505432,0.970917284488678,0.9615942239761353,0.9796382784843445,0.9616814702749252
yor,0.9384291768074036,0.9759340882301331,0.9584677219390869,0.967919647693634,0.9601876586675644
pcm,0.9637865424156189,0.9621468186378479,0.9257007241249084,0.983507513999939,0.9587853997945786
