,PER,DATE,LOC,ORG
bam,0.9840012788772583,0.9765782952308655,0.9717221260070801,0.9382795095443726
bbj,0.9727796912193298,0.9589366316795349,0.9456154704093933,0.9649402499198914
ewe,0.9745919108390808,0.969162106513977,0.9725055694580078,0.9781968593597412
fon,0.9632456302642822,0.9502649903297424,0.9713340401649475,0.9655050039291382
hau,0.9892560839653015,0.9745351076126099,0.9824957251548767,0.9862450957298279
ibo,0.9878345727920532,0.9853449463844299,0.9831153750419617,0.9783278107643127
kin,0.9905422329902649,0.9803995490074158,0.9897280335426331,0.9895326495170593
lug,0.9875190854072571,0.9720308184623718,0.9827066659927368,0.9935304522514343
luo,0.9781748056411743,0.9781225919723511,0.9868180751800537,0.9828267097473145
mos,0.9818124771118164,0.962422788143158,0.9797141551971436,0.9821247458457947
nya,0.9887022376060486,0.9725139141082764,0.9837507009506226,0.9908889532089233
pcm,0.9681718349456787,0.9194957613945007,0.9527036547660828,0.9621008038520813
sna,0.9867163896560669,0.9740371108055115,0.9904572367668152,0.9911017417907715
swa,0.9574422836303711,0.9463130235671997,0.9651483297348022,0.9579518437385559
tsn,0.9815150499343872,0.9807211756706238,0.9794488549232483,0.983356237411499
twi,0.9829795360565186,0.9792864918708801,0.9835143089294434,0.9859607219696045
wol,0.9816930294036865,0.9759464263916016,0.9790160059928894,0.9824075698852539
xho,0.974229097366333,0.9865235686302185,0.9837357997894287,0.9874189496040344
yor,0.9592385292053223,0.9617602229118347,0.9580353498458862,0.9692443609237671
zul,0.9852737784385681,0.9729135632514954,0.9749205112457275,0.9912834763526917
