,DATE,PER,LOC,ORG,Mean
kin,0.9693068265914917,0.9961863160133362,0.9901458024978638,0.9902057647705078,0.9864611774682999
ibo,0.9827741980552673,0.9925086498260498,0.9842590689659119,0.9805226922035217,0.9850161522626877
lug,0.9688869714736938,0.9960644245147705,0.9803174734115601,0.9941907525062561,0.9848649054765701
hau,0.9762538075447083,0.9915200471878052,0.9828270673751831,0.9864972829818726,0.9842745512723923
luo,0.979446291923523,0.98545902967453,0.9846646785736084,0.985111653804779,0.9836704134941101
xho,0.9866592288017273,0.9784383773803711,0.9819378852844238,0.9875491857528687,0.9836461693048477
nya,0.9663172960281372,0.9945223927497864,0.983238935470581,0.9898092150688171,0.9834719598293304
tsn,0.979883074760437,0.9886071085929871,0.9770933389663696,0.9845574498176575,0.9825352430343628
sna,0.9511723518371582,0.9944778680801392,0.9920105934143066,0.9902681112289429,0.9819822311401367
twi,0.9702110290527344,0.9820894002914429,0.9843289852142334,0.9818189144134521,0.9796120822429657
mos,0.9619630575180054,0.9876233339309692,0.9856730103492737,0.9829825162887573,0.9795604795217514
wol,0.9720970988273621,0.9853814244270325,0.9760978817939758,0.9831864833831787,0.9791907221078873
zul,0.9701693058013916,0.9867973923683167,0.9677352905273438,0.9902868866920471,0.9787472188472748
ewe,0.9710917472839355,0.9785084128379822,0.9773514270782471,0.979745090007782,0.9766741693019867
bam,0.969558596611023,0.9765366911888123,0.9708192348480225,0.9611641764640808,0.9695196747779846
pcm,0.9402029514312744,0.9700737595558167,0.9705914258956909,0.972419023513794,0.963321790099144
fon,0.9537688493728638,0.9697309136390686,0.9653795957565308,0.9591396450996399,0.9620047509670258
bbj,0.9643094539642334,0.9684569835662842,0.944349467754364,0.961842954158783,0.9597397148609161
yor,0.9577412605285645,0.957335352897644,0.9477770328521729,0.9695392847061157,0.9580982327461243
swa,0.9436073899269104,0.9611298441886902,0.9396892786026001,0.9575390815734863,0.9504913985729218
