,PER,LOC,ORG,DATE
bam,0.9999700784683228,0.9999596476554871,0.9999624490737915,0.9999487400054932
bbj,0.9999517202377319,0.9999070167541504,0.9999204277992249,0.9998778104782104
ewe,0.9999659657478333,0.9999389052391052,0.9999590516090393,0.9999285936355591
fon,0.9999327063560486,0.9999392628669739,0.9999451041221619,0.9998782277107239
hau,0.9999874830245972,0.9999784231185913,0.999979555606842,0.9999577403068542
ibo,0.999980628490448,0.9999728202819824,0.9999583959579468,0.999955952167511
kin,0.9999892711639404,0.9999862313270569,0.9999826550483704,0.9999404549598694
lug,0.999995231628418,0.9999665021896362,0.9999889135360718,0.9999560713768005
luo,0.9999638795852661,0.9999697804450989,0.9999621510505676,0.9999686479568481
mos,0.9999730587005615,0.999977707862854,0.9999719262123108,0.9999370574951172
nya,0.9999872446060181,0.9999769926071167,0.9999872446060181,0.9999411702156067
pcm,0.99993896484375,0.9999035596847534,0.9999127388000488,0.9998947381973267
sna,0.999987781047821,0.999984622001648,0.9999862909317017,0.9999110698699951
swa,0.9999665021896362,0.999926745891571,0.9999487400054932,0.9999274015426636
tsn,0.9999730587005615,0.9999444484710693,0.9999691843986511,0.9999635219573975
twi,0.9999821186065674,0.9999658465385437,0.9999743700027466,0.9999535083770752
wol,0.9999728798866272,0.9999454021453857,0.9999719858169556,0.9999552965164185
xho,0.9999567270278931,0.9999692440032959,0.9999828934669495,0.9999775290489197
yor,0.9999285936355591,0.9999067783355713,0.9999234676361084,0.9998654723167419
zul,0.9999766945838928,0.999946653842926,0.9999802112579346,0.9999561309814453
