,DATE,PER,ORG,LOC
bam,0.9999175667762756,0.9997164011001587,0.9998618960380554,0.9988301992416382
bbj,0.9998643398284912,0.9997869729995728,0.9999511241912842,0.9983084201812744
ewe,0.9998629093170166,0.9998318552970886,0.9999645948410034,0.99962317943573
fon,0.9995530843734741,0.9995426535606384,0.999979555606842,0.999342679977417
hau,0.9994127750396729,0.9998061060905457,0.9998061060905457,0.9979553818702698
ibo,0.999945878982544,0.999968409538269,0.9999779462814331,0.9993468523025513
kin,0.9999070167541504,0.999871551990509,0.9999257326126099,0.9999286532402039
lug,0.9994567632675171,0.999885082244873,0.9994472861289978,0.9997236728668213
luo,0.9999115467071533,0.9998725056648254,0.9999171495437622,0.9999428987503052
mos,0.9998329281806946,0.9996377229690552,0.9999392032623291,0.9992997646331787
nya,0.9998475909233093,0.9998918771743774,0.9999471306800842,0.9992541670799255
pcm,0.9990526437759399,0.9999575614929199,0.9988330006599426,0.9999027848243713
sna,0.9999402165412903,0.9998995065689087,0.9993271231651306,0.9992800354957581
swa,0.9989688396453857,0.9999099969863892,0.9995136857032776,0.9999470710754395
tsn,0.9999366998672485,0.9998369812965393,0.9996947646141052,0.9994658827781677
twi,0.9998319745063782,0.999971866607666,0.9999842047691345,0.9999590516090393
wol,0.9999533295631409,0.9996612668037415,0.9999483823776245,0.9993566870689392
xho,0.999758243560791,0.9997525811195374,0.9998435378074646,0.9990251064300537
yor,0.9999300241470337,0.9997959733009338,0.9998943209648132,0.999293327331543
zul,0.9999547600746155,0.9995394349098206,0.9999850988388062,0.9996511340141296
