,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9999484419822693,0.010160824283957481,0.9999483823776245,0.9998583793640137,0.01683030091226101,0.9998583793640137,0.9999651312828064,0.008349300362169743,0.9999651312828064,0.9999906420707703,0.004312719684094191,0.999990701675415,0.35748258233070374
bbj,0.9999828338623047,0.005877355579286814,0.9999827742576599,0.9998177289962769,0.019095048308372498,0.9998174905776978,0.9999856948852539,0.005353518761694431,0.9999856352806091,0.9999894499778748,0.004602944478392601,0.99998939037323,0.6267375946044922
ewe,0.9999921321868896,0.003968199249356985,0.9999920725822449,0.9999457597732544,0.010417482815682888,0.9999456405639648,0.9999828934669495,0.005852947942912579,0.9999828338623047,0.9999762773513794,0.0068877097219228745,0.9999763369560242,0.37470686435699463
fon,0.9999547600746155,0.009514393284916878,0.9999547600746155,0.9998871684074402,0.015026385895907879,0.9998870491981506,0.9999942183494568,0.0034295036457479,0.9999942183494568,0.9999721050262451,0.007468339055776596,0.9999721646308899,0.48957523703575134
hau,0.9999943375587463,0.0033934887032955885,0.9999942183494568,0.9998363852500916,0.018093422055244446,0.999836266040802,0.9999927878379822,0.0037849945947527885,0.999992847442627,0.9999573826789856,0.009236472658813,0.999957263469696,0.29879921674728394
ibo,0.9999939799308777,0.00348721188493073,0.9999939799308777,0.999953031539917,0.00969792902469635,0.9999529719352722,0.9999874830245972,0.005013361107558012,0.9999874830245972,0.9999891519546509,0.004656642209738493,0.9999890923500061,0.6098062992095947
kin,0.9999958276748657,0.002906894078478217,0.999995768070221,0.9999966621398926,0.002582724206149578,0.9999966025352478,0.9999868273735046,0.005162641406059265,0.9999867081642151,0.9999904632568359,0.004389679990708828,0.9999903440475464,0.9491496682167053
lug,0.9999902248382568,0.0044258772395551205,0.9999901652336121,0.9999629259109497,0.008614016696810722,0.9999629259109497,0.9999379515647888,0.011137407273054123,0.9999380111694336,0.9999215006828308,0.012528304010629654,0.999921441078186,0.21266207098960876
luo,0.999996542930603,0.002646725857630372,0.999996542930603,0.9999880194664001,0.004907319322228432,0.9999879002571106,0.999983012676239,0.005838767159730196,0.9999830722808838,0.9999915957450867,0.004126750864088535,0.9999915361404419,0.8809114694595337
mos,0.9999659657478333,0.008266236633062363,0.9999659061431885,0.9998987913131714,0.014229048043489456,0.9998987317085266,0.9999946355819702,0.0032691641245037317,0.999994695186615,0.9999696612358093,0.007786103989928961,0.9999697208404541,0.5838038921356201
nya,0.9999904036521912,0.004394473508000374,0.9999904036521912,0.9999439716339111,0.01059605274349451,0.9999437928199768,0.9999900460243225,0.0044790515676140785,0.999989926815033,0.9999839663505554,0.005665984470397234,0.9999839067459106,0.8836640119552612
pcm,0.999997079372406,0.0024645335506647825,0.9999970197677612,0.9999876618385315,0.004974964074790478,0.9999876022338867,0.9999201893806458,0.012634873390197754,0.999920129776001,0.9998281002044678,0.018539322540163994,0.999828040599823,0.2016369104385376
sna,0.9999873638153076,0.0050405035726726055,0.9999873042106628,0.9999406933784485,0.010903209447860718,0.9999405145645142,0.9999601244926453,0.008930608630180359,0.9999600648880005,0.9999946355819702,0.0033013238571584225,0.9999946355819702,0.21291126310825348
swa,0.9999940991401672,0.0034765079617500305,0.9999939203262329,0.9999942183494568,0.0034088618122041225,0.9999942779541016,0.9999396800994873,0.010982898995280266,0.9999396204948425,0.999873161315918,0.015923619270324707,0.9998731017112732,0.2073698490858078
tsn,0.9999882578849792,0.004855339415371418,0.9999882578849792,0.9999486207962036,0.010146680288016796,0.9999485015869141,0.9999420642852783,0.01075868122279644,0.9999420642852783,0.9999910593032837,0.004243612755089998,0.9999909996986389,0.15545392036437988
twi,0.9999961256980896,0.0028088539838790894,0.9999961256980896,0.9999901652336121,0.004457380622625351,0.9999901056289673,0.9999909996986389,0.004240696784108877,0.9999909996986389,0.999973475933075,0.007277857977896929,0.9999735355377197,0.9264580607414246
wol,0.9999739527702332,0.007229192648082972,0.9999739527702332,0.9998817443847656,0.015382813289761543,0.9998816847801208,0.9999927878379822,0.003800602164119482,0.999992847442627,0.9999936819076538,0.00360263604670763,0.9999935626983643,0.6633561849594116
xho,0.9999772906303406,0.006739177741110325,0.9999773502349854,0.9998692274093628,0.016177887097001076,0.9998689889907837,0.9999696016311646,0.007797619327902794,0.9999695420265198,0.9999808669090271,0.0061972844414412975,0.9999808073043823,0.6770983934402466
yor,0.9999749660491943,0.007069239392876625,0.9999749660491943,0.9998987317085266,0.014232536777853966,0.9998986721038818,0.9999821186065674,0.005973516963422298,0.9999821782112122,0.9999896287918091,0.0045730192214250565,0.9999895691871643,0.5364092588424683
zul,0.9999672770500183,0.00809304229915142,0.9999672770500183,0.9999441504478455,0.010570351034402847,0.9999440312385559,0.999990701675415,0.004313156008720398,0.9999907612800598,0.9999943375587463,0.0033985411282628775,0.9999942779541016,0.5601336359977722
