,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,,,,0.9742743968963623,0.22682861983776093,0.9742390513420105,0.9650048017501831,0.26455655694007874,0.9649575352668762,,,,
bbj,,,,0.9444887042045593,0.33320024609565735,0.9444132447242737,0.9755825400352478,0.22098654508590698,0.9755493998527527,,,,
ewe,0.9823263883590698,0.18800890445709229,0.9823021292686462,,,,0.9770467281341553,0.2142583131790161,0.9770158529281616,,,,
fon,0.9811927080154419,0.1939445585012436,0.9811666011810303,0.9613512754440308,0.27802395820617676,0.9612976312637329,0.9797085523605347,0.20145243406295776,0.979681134223938,,,,
hau,0.9821262955665588,0.18906991183757782,0.9821032881736755,,,,0.9771519303321838,0.2137661874294281,0.9771211743354797,,,,
ibo,,,,0.9522076845169067,0.30916735529899597,0.9521414041519165,0.9749288558959961,0.22392472624778748,0.9748949408531189,,,,
kin,,,,0.8854390978813171,0.47866687178611755,0.8853035569190979,0.9661108255386353,0.2603429853916168,0.9660646319389343,,,,
lug,0.9811112284660339,0.19436365365982056,0.9810867309570312,,,,0.9726988673210144,0.2336713820695877,0.9726706743240356,,,,
luo,0.9688114523887634,0.2497538924217224,0.9687713384628296,,,,0.964087963104248,0.2679995894432068,0.9640406370162964,,,,
mos,0.9794353246688843,0.2028036117553711,0.9794081449508667,,,,0.9795740842819214,0.2021186649799347,0.9795465469360352,,,,
nya,,,,0.9708101153373718,0.2416190803050995,0.9707698225975037,0.9770493507385254,0.21424542367458344,0.9770196676254272,,,,
pcm,0.9737333655357361,0.2292010486125946,0.9736971259117126,0.9603672623634338,0.28154119849205017,0.9603133797645569,,,,,,,
sna,0.9784079194068909,0.2078075110912323,0.9783782958984375,0.9678265452384949,0.2536664307117462,0.9677823781967163,,,,,,,
swa,0.9845088124275208,0.17601792514324188,0.9844889640808105,0.9582917094230652,0.2888191342353821,0.9582356214523315,,,,,,,
tsn,,,,0.9644372463226318,0.26669344305992126,0.9643872976303101,0.979461669921875,0.20267339050769806,0.979435384273529,,,,
twi,0.9885923266410828,0.15104693174362183,0.988576352596283,0.9585710763931274,0.2878507971763611,0.9585154056549072,0.9871262311935425,0.16046059131622314,0.9871090650558472,,,,
wol,,,,0.9614753127098083,0.2775777280330658,0.9614237546920776,0.9771969318389893,0.21355535089969635,0.9771661758422852,,,,
xho,0.9680309891700745,0.25285929441452026,0.9679855704307556,0.9600909352302551,0.2825206518173218,0.9600350856781006,,,,,,,
yor,,,,0.9312750697135925,0.37074241042137146,0.9311779737472534,0.9791421890258789,0.2042435258626938,0.9791145920753479,,,,
zul,,,,0.9624282121658325,0.2741231620311737,0.9623755812644958,,,,,,,
