,PER,LOC,ORG,DATE,Mean
twi,0.98058021068573,0.9704376459121704,0.9888827204704285,0.9754022359848022,0.9788257032632828
kin,0.9744154214859009,0.9677050113677979,0.9841560125350952,0.9845125675201416,0.9776972532272339
tsn,0.9782421588897705,0.956311821937561,0.9796999096870422,0.9801304936408997,0.9735960960388184
luo,0.967013955116272,0.9664862155914307,0.9789168834686279,0.9768917560577393,0.9723272025585175
zul,0.9734915494918823,0.9515178203582764,0.9857027530670166,0.9733324646949768,0.971011146903038
lug,0.9748552441596985,0.9730371832847595,0.9654192924499512,0.9633468985557556,0.9691646546125412
ibo,0.9808220267295837,0.9279010891914368,0.979557454586029,0.9881187081336975,0.9690998196601868
ewe,0.9709380269050598,0.9571363925933838,0.9846004843711853,0.9609387516975403,0.9684034138917923
nya,0.9808520674705505,0.936786413192749,0.980595052242279,0.9717544913291931,0.9674970060586929
sna,0.9681214094161987,0.9424567222595215,0.9754024744033813,0.9829354882240295,0.9672290235757828
wol,0.981169581413269,0.922858715057373,0.9785696268081665,0.9737333655357361,0.9640828222036362
fon,0.9791845679283142,0.9356845021247864,0.9813007116317749,0.9593421816825867,0.9638779908418655
mos,0.9793441295623779,0.9403775930404663,0.9830278754234314,0.9494999647140503,0.9630623906850815
xho,0.9686741232872009,0.9378494620323181,0.9744641184806824,0.9700557589530945,0.962760865688324
bbj,0.9785627722740173,0.9180702567100525,0.9797744154930115,0.9605988264083862,0.9592515677213669
yor,0.96885085105896,0.9239671230316162,0.9725995063781738,0.9694597721099854,0.9587193131446838
bam,0.9721216559410095,0.9436933398246765,0.9491949677467346,0.9660756587982178,0.9577714055776596
hau,0.9707178473472595,0.9268332123756409,0.9749985337257385,0.9347012639045715,0.9518127143383026
swa,0.9650134444236755,0.9591029286384583,0.9436098337173462,0.8976081013679504,0.9413335770368576
pcm,0.9770283102989197,0.9556354880332947,0.937889814376831,0.8883353471755981,0.9397222399711609
