,ORG,LOC,PER,DATE,Mean
nya,0.9860588312149048,0.974601686000824,0.9908090233802795,,0.9838231801986694
twi,0.9888473749160767,0.9711180925369263,0.9871554970741272,,0.9823736548423767
mos,0.9849438667297363,0.9723066687583923,0.9872651100158691,,0.9815052151679993
sna,0.9880445003509521,0.9734950065612793,0.9820917844772339,,0.9812104304631551
kin,0.9863664507865906,0.9727160334587097,0.9818520545959473,,0.9803115129470825
zul,0.9871591925621033,0.9690638184547424,0.981295645236969,,0.9791728854179382
tsn,0.9860578179359436,0.9660198092460632,0.9852710962295532,,0.9791162411371866
ibo,0.9841399788856506,0.9654937386512756,0.9865293502807617,,0.978721022605896
ewe,0.9856721758842468,0.9667896032333374,0.9827826619148254,,0.9784148136774699
wol,0.9808458089828491,0.9680455327033997,0.9862759113311768,,0.9783890843391418
lug,0.9800968170166016,0.9701887369155884,0.9841371774673462,,0.9781409104665121
luo,0.971315860748291,0.9747887849807739,0.9831023216247559,,0.9764023224512736
fon,0.9812777042388916,0.9638862013816833,0.9823717474937439,,0.975845217704773
xho,0.9817946553230286,0.9686607122421265,0.9716300368309021,,0.974028468132019
bam,0.959162175655365,0.9763966202735901,0.9832046627998352,,0.9729211529095968
pcm,0.9676030874252319,0.9612639546394348,0.9860522747039795,,0.9716397722562155
hau,0.9782770872116089,0.952553927898407,0.9821938276290894,,0.971008280913035
yor,0.9808773398399353,0.9439271688461304,0.9773223400115967,,0.9673756162325541
bbj,0.9716339707374573,0.9518795013427734,0.9772495031356812,,0.9669209917386373
swa,0.9734637141227722,0.9474227428436279,0.978381335735321,,0.9664225975672404
