,ORG,LOC,DATE,PER,Mean
twi,0.9936477541923523,0.9839141368865967,0.9791244268417358,0.987951397895813,0.9861594289541245
kin,0.992207407951355,0.9822961091995239,0.9832507967948914,0.9805179238319397,0.9845680594444275
zul,0.9900228381156921,0.9718881249427795,0.9792824387550354,0.9867335557937622,0.9819817394018173
luo,0.9836407899856567,0.9827592968940735,0.9837637543678284,0.9769418835639954,0.9817764312028885
sna,0.9890382885932922,0.9661059379577637,0.981375515460968,0.9827782511711121,0.979824498295784
ibo,0.9881166815757751,0.9571377635002136,0.9866820573806763,0.9863035082817078,0.9795600026845932
tsn,0.9813158512115479,0.9722243547439575,0.9790990948677063,0.9823077917098999,0.9787367731332779
ewe,0.9886792898178101,0.973520040512085,0.9698317646980286,0.980482816696167,0.9781284779310226
nya,0.9878885746002197,0.9639710187911987,0.9697751402854919,0.9885920286178589,0.9775566905736923
wol,0.9857746958732605,0.9578895568847656,0.9777871370315552,0.9878796339035034,0.9773327559232712
xho,0.9824069738388062,0.9603556394577026,0.9822587370872498,0.9803781509399414,0.976349875330925
lug,0.9755669236183167,0.9825679659843445,0.953282356262207,0.9865416884422302,0.9744897335767746
mos,0.9882792830467224,0.965386152267456,0.9563589096069336,0.9857553243637085,0.9739449173212051
bam,0.9699423909187317,0.9689817428588867,0.969955563545227,0.9850850105285645,0.9734911769628525
fon,0.9870279431343079,0.9531067609786987,0.9620319604873657,0.9854918718338013,0.9719146341085434
yor,0.9889435768127441,0.9479597806930542,0.9688292145729065,0.9811248183250427,0.9717143476009369
hau,0.9833342432975769,0.9582188725471497,0.9525741338729858,0.9848523139953613,0.9697448909282684
swa,0.9781742691993713,0.9846724271774292,0.9309296607971191,0.9780616164207458,0.9679594933986664
bbj,0.9820806384086609,0.9447025656700134,0.960237979888916,0.9808497428894043,0.9669677317142487
pcm,0.970736026763916,0.9788604378700256,0.918435275554657,0.9868936538696289,0.9637313485145569
