,LOC,ORG,DATE,PER
bam,0.9711835384368896,0.9594688415527344,,0.9814075231552124
bbj,0.94041907787323,0.9739959239959717,,0.9751595854759216
ewe,0.9706994295120239,0.986971914768219,,0.9806685447692871
fon,0.9592460989952087,0.9803643822669983,,0.9797438979148865
hau,0.9549363851547241,0.9785982966423035,,0.9802272319793701
ibo,0.964806079864502,0.9871494770050049,,0.9854952096939087
kin,0.9883466362953186,0.992084264755249,,0.9807748794555664
lug,0.9881172180175781,0.9758816957473755,,0.9881411194801331
luo,0.9867109060287476,0.9877831339836121,,0.9811869263648987
mos,0.9697394967079163,0.98654705286026,,0.9849718809127808
nya,0.9743579626083374,0.9904674887657166,,0.9891693592071533
pcm,0.9738658666610718,0.9637578725814819,,0.9830648899078369
sna,0.9723200798034668,0.9890660047531128,,0.9875871539115906
swa,0.9677425026893616,0.9747208952903748,,0.972795307636261
tsn,0.972089946269989,0.9850826263427734,,0.9844529628753662
twi,0.9810481071472168,0.9912233948707581,,0.9856582283973694
wol,0.9619676470756531,0.9829913973808289,,0.9859851002693176
xho,0.9628865718841553,0.9798942804336548,,0.9668062329292297
yor,0.9570222496986389,0.9820063710212708,,0.9734363555908203
zul,0.9742034673690796,0.987206220626831,,0.9800465106964111
