,ORG,DATE,LOC,PER
bam,0.9999971389770508,,0.9999985694885254,0.9999992251396179
bbj,0.999998927116394,,0.9999977946281433,0.9999992847442627
ewe,0.9999986886978149,,0.9999983906745911,0.9999988079071045
fon,0.9999989867210388,,0.9999980330467224,0.9999980330467224
hau,0.999998927116394,,0.9999974966049194,0.9999988675117493
ibo,0.9999983906745911,,0.9999985694885254,0.9999995827674866
kin,0.9999985098838806,,0.9999975562095642,0.9999991655349731
lug,0.9999991655349731,,0.9999979138374329,0.9999997019767761
luo,0.9999983310699463,,0.999998152256012,0.999999463558197
mos,0.9999991059303284,,0.9999991655349731,0.9999995827674866
nya,0.9999985098838806,,0.9999985694885254,0.9999995231628418
pcm,0.9999983310699463,,0.9999982118606567,0.9999992847442627
sna,0.999999463558197,,0.999998927116394,0.9999997019767761
swa,0.9999980330467224,,0.9999976754188538,0.9999986886978149
tsn,0.9999985694885254,,0.999998152256012,0.9999995827674866
twi,0.9999992251396179,,0.9999985694885254,0.9999990463256836
wol,0.9999985694885254,,0.9999986290931702,0.9999996423721313
xho,0.9999993443489075,,0.9999975562095642,0.9999986886978149
yor,0.9999995231628418,,0.9999977946281433,0.9999995231628418
zul,0.9999991655349731,,0.9999968409538269,0.9999986290931702
