,DATE,LOC,PER,ORG
bam,,,,0.9999676942825317
bbj,,0.9999381899833679,,0.9999674558639526
ewe,,,0.9999784827232361,0.9999719858169556
fon,,,0.9999690651893616,
hau,,,0.9999838471412659,0.9999673962593079
ibo,,0.9999251365661621,,0.9998992681503296
kin,,,,0.9999827742576599
lug,,,0.9999909400939941,0.999971330165863
luo,,,0.9999139904975891,0.9999032616615295
mos,,,0.9999787211418152,0.9999392032623291
nya,,,,0.9999266266822815
pcm,,0.9999335408210754,0.9999464750289917,
sna,,0.9999659657478333,0.9999675154685974,
swa,,,0.9998922348022461,
tsn,,0.9999328255653381,,0.9999654293060303
twi,,,0.9999825954437256,
wol,,,,0.9999630451202393
xho,,0.9999739527702332,0.9999790191650391,
yor,,0.9998462796211243,,0.999958872795105
zul,,0.9999701976776123,,
