,LOC,ORG,PER,DATE,Mean
sna,0.9999911189079285,0.9999979138374329,0.9999972581863403,0.999992847442627,0.9999947845935822
kin,0.9999946355819702,0.9999944567680359,0.9999962449073792,0.9999935030937195,0.9999947100877762
zul,0.999995768070221,0.9999966025352478,0.9999971985816956,0.9999887347221375,0.9999945759773254
xho,0.9999945759773254,0.999995231628418,0.9999945163726807,0.9999937415122986,0.9999945163726807
twi,0.9999929070472717,0.9999933242797852,0.9999972581863403,0.9999893307685852,0.9999932050704956
mos,0.9999951720237732,0.999993622303009,0.9999975562095642,0.9999863505363464,0.9999931752681732
ibo,0.9999954700469971,0.9999864101409912,0.9999960660934448,0.9999943375587463,0.9999930709600449
lug,0.9999881982803345,0.9999949336051941,0.9999980330467224,0.9999886751174927,0.9999924600124359
hau,0.9999927878379822,0.999992847442627,0.9999964833259583,0.9999876618385315,0.9999924451112747
yor,0.9999934434890747,0.9999920129776001,0.999994695186615,0.9999895691871643,0.9999924302101135
wol,0.9999967813491821,0.9999855160713196,0.9999967813491821,0.9999902844429016,0.9999923408031464
bbj,0.9999915361404419,0.9999949932098389,0.9999937415122986,0.9999881386756897,0.9999921023845673
bam,0.9999942183494568,0.9999904632568359,0.9999955296516418,0.9999827146530151,0.9999907314777374
nya,0.9999962449073792,0.9999827742576599,0.999997079372406,0.9999847412109375,0.9999902099370956
fon,0.9999924302101135,0.9999923706054688,0.9999939799308777,0.999981164932251,0.9999899864196777
luo,0.9999902248382568,0.9999822974205017,0.9999929666519165,0.9999932050704956,0.9999896734952927
tsn,0.9999922513961792,0.9999819993972778,0.9999955892562866,0.9999872446060181,0.9999892711639404
ewe,0.999993622303009,0.9999915957450867,0.9999950528144836,0.9999729990959167,0.999988317489624
swa,0.9999945759773254,0.9999735951423645,0.9999911785125732,0.9999576807022095,0.9999792575836182
pcm,0.9999885559082031,0.999971330165863,0.9999930262565613,0.9999279379844666,0.9999702125787735
