,LOC,DATE,ORG,PER
bam,0.9997060298919678,0.9995989799499512,0.9998891353607178,0.999958336353302
bbj,0.9998734593391418,0.9999114871025085,0.9999704957008362,0.9999751448631287
ewe,0.9999427795410156,0.9998586773872375,0.9999147057533264,0.9998990297317505
fon,0.9995774030685425,0.9996346235275269,0.9998766183853149,0.9998224973678589
hau,0.9998633861541748,0.9996720552444458,0.9999176263809204,0.9998823404312134
ibo,0.9997894763946533,0.9998491406440735,0.9998592138290405,0.9999885559082031
kin,0.9999822378158569,0.9999560713768005,0.9999776482582092,0.9999744296073914
lug,0.9999777674674988,0.9999560117721558,0.9999372959136963,0.9999905824661255
luo,0.9998883605003357,0.999887228012085,0.9999410510063171,0.9999275207519531
mos,0.9999167323112488,0.9997488856315613,0.9999470710754395,0.9999436736106873
nya,0.99990314245224,0.99996417760849,0.999985933303833,0.9999871253967285
pcm,0.9999369978904724,0.9999049305915833,0.9999262690544128,0.9999805688858032
sna,0.9999701380729675,0.9999465346336365,0.9999645352363586,0.9999505281448364
swa,0.9999427199363708,0.9997265934944153,0.9999231100082397,0.9999547004699707
tsn,0.9999549388885498,0.9999598860740662,0.9999668002128601,0.9999713897705078
twi,0.9999097585678101,0.9998862147331238,0.9999392628669739,0.999987006187439
wol,0.9997754096984863,0.9998630881309509,0.99990314245224,0.9998414516448975
xho,0.9999552965164185,0.9999727010726929,0.9999414086341858,0.9998592734336853
yor,0.9998175501823425,0.9997678399085999,0.9999326467514038,0.999967098236084
zul,0.999869167804718,0.9998504519462585,0.9999789595603943,0.9999484419822693
