,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9999898672103882,0.004498241934925318,0.999989926815033,0.9999845623970032,0.005553788039833307,0.9999846816062927,0.999986469745636,0.005211616866290569,0.999986469745636,0.9999867081642151,0.0051706209778785706,0.9999865293502808,0.9219323396682739
bbj,0.9999918341636658,0.004045479465276003,0.999991774559021,0.9999837875366211,0.005718608386814594,0.9999836087226868,0.9999917149543762,0.004099351819604635,0.9999915957450867,0.9999780058860779,0.006645702291280031,0.9999778866767883,0.7838325500488281
ewe,0.9999877214431763,0.004968544002622366,0.9999877214431763,0.999991238117218,0.004208250902593136,0.9999912977218628,0.9999907612800598,0.004300129134207964,0.9999908208847046,0.9999818801879883,0.0060223909094929695,0.9999817609786987,0.7917421460151672
fon,0.9999791383743286,0.006455483380705118,0.9999791979789734,0.9999797344207764,0.006365833804011345,0.9999798536300659,0.9999891519546509,0.00466547068208456,0.9999890327453613,0.9999657273292542,0.008284999057650566,0.9999657273292542,0.9623386859893799
hau,0.9999896287918091,0.004574325866997242,0.9999895691871643,0.9999791979789734,0.006466729566454887,0.9999790191650391,0.9999903440475464,0.004399304278194904,0.9999902248382568,0.9999726414680481,0.00741473026573658,0.9999725222587585,0.8645428419113159
ibo,0.9999939203262329,0.003475830890238285,0.9999939203262329,0.9999832510948181,0.005800131242722273,0.9999833106994629,0.999978244304657,0.0066130030900239944,0.9999781250953674,0.9999947547912598,0.00327362772077322,0.9999945759773254,0.666709303855896
kin,0.9999938011169434,0.003553293878212571,0.9999937415122986,0.9999948143959045,0.0032383250072598457,0.9999948143959045,0.9999924302101135,0.003910263068974018,0.9999923706054688,0.9999915957450867,0.004098859149962664,0.9999916553497314,0.9452164769172668
lug,0.9999968409538269,0.0025034863501787186,0.9999969005584717,0.9999902248382568,0.00442732498049736,0.9999903440475464,0.9999927282333374,0.0038412148132920265,0.9999927282333374,0.9999889135360718,0.004741682671010494,0.9999886751174927,0.7848280072212219
luo,0.9999909996986389,0.004244140349328518,0.9999909996986389,0.9999932646751404,0.0036730836145579815,0.9999933838844299,0.9999858140945435,0.005357182119041681,0.9999856948852539,0.9999927282333374,0.0038264282047748566,0.9999926686286926,0.8748952150344849
mos,0.9999954700469971,0.0030399488750845194,0.9999953508377075,0.9999849796295166,0.005478864535689354,0.9999850988388062,0.9999911785125732,0.004225872922688723,0.9999909996986389,0.9999821186065674,0.00600054208189249,0.9999821186065674,0.9863746762275696
nya,0.9999953508377075,0.0030406962614506483,0.9999953508377075,0.9999960660934448,0.0028134197928011417,0.9999961256980896,0.9999914765357971,0.004141846671700478,0.9999914169311523,0.999990701675415,0.004318042192608118,0.999990701675415,0.7084693908691406
pcm,0.9999935626983643,0.00359966978430748,0.9999935626983643,0.9999866485595703,0.005173697602003813,0.9999865889549255,0.9999861121177673,0.005274859722703695,0.9999861121177673,0.9999710321426392,0.007624057121574879,0.9999709725379944,0.8353731036186218
sna,0.9999955296516418,0.003017598297446966,0.9999954700469971,0.9999898076057434,0.004539382178336382,0.9999896883964539,0.9999962449073792,0.0027866086456924677,0.9999961853027344,0.9999876618385315,0.004992214497178793,0.9999875426292419,0.7216118574142456
swa,0.9999882578849792,0.004845484625548124,0.999988317489624,0.9999886155128479,0.004768175072968006,0.9999887943267822,0.999983549118042,0.005749914795160294,0.9999834299087524,0.9999757409095764,0.006985256914049387,0.9999756813049316,0.7465278506278992
tsn,0.9999942183494568,0.00341633427888155,0.9999942183494568,0.9999832510948181,0.005780284758657217,0.9999833703041077,0.9999857544898987,0.005351466592401266,0.9999857544898987,0.999992311000824,0.003919269423931837,0.999992311000824,0.6708440184593201
twi,0.9999867081642151,0.005180493462830782,0.9999866485595703,0.9999900460243225,0.004480451345443726,0.9999899864196777,0.9999911189079285,0.004231463186442852,0.9999909400939941,0.9999768137931824,0.0068276068195700645,0.9999766945838928,0.8063594698905945
wol,0.9999936819076538,0.0036035114899277687,0.999993622303009,0.9999890327453613,0.004698060918599367,0.9999889731407166,0.9999898672103882,0.004500534385442734,0.9999898672103882,0.9999889135360718,0.004738436080515385,0.9999887943267822,0.9328576326370239
xho,0.9999843239784241,0.0056114778853952885,0.9999844431877136,0.9999849200248718,0.005491524003446102,0.9999850392341614,0.9999937415122986,0.003582030301913619,0.999993622303009,0.9999933838844299,0.003644077805802226,0.9999933838844299,0.6337695121765137
yor,0.9999916553497314,0.0040873452089726925,0.9999917149543762,0.9999842047691345,0.0056334976106882095,0.9999842047691345,0.9999927282333374,0.0038550994358956814,0.9999926090240479,0.9999877214431763,0.0049790930934250355,0.9999876618385315,0.8058264255523682
zul,0.9999878406524658,0.004947786219418049,0.9999878406524658,0.9999852776527405,0.005432721693068743,0.9999852180480957,0.9999948740005493,0.0032433702144771814,0.9999947547912598,0.9999929666519165,0.0037531473208218813,0.9999929070472717,0.6759087443351746
